stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,21.03,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0,0.57,0,0,0,0,0,0,1.15,1.15,0,0,2.3,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0.98,0,0,0.98,0,0,0,81.48,0,0,0,6.87,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06,1.06,0,200.73,2.12,0,0,9.56,0,0,1.06,0,1.06,0,2.12,0,0,0
 96-106,0,1.09,0,1.09,1.09,1.09,1.09,0,2.19,0,0,2.19,0,0,497.25,4.37,0,0,44.81,1.09,1.09,0,0,2.19,0,0,0,0,2.19
108-118,0,0,3.06,0.77,0,5.36,1.53,0,2.3,0,0.77,0.77,0.77,0.77,854.81,3.83,0,0.77,36.77,0,0.77,0,0,1.53,0,0,0.77,0,3.06
120,0,0,0,0,0,0,0,3.92,5.88,0,0,0,0,1.96,440.95,0,0,1.96,19.6,0,0,0,0,0,0,1.96,0,1.96,0
