stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,35,10,0,22,0,0,0,5,1,0,0,0,0,0,0,1,18,0,0,9,151,2,0,1,4,0,6,28,2,0,39,79,0,0,3,0,0
 24-34,0,0.82,0,6.57,0.82,0,20.52,0,0.82,0,5.75,0,0.82,0.82,2.46,0,0,1.64,0,13.95,0,0,9.03,206.86,0.82,0,2.46,0,0,14.78,0,1.64,0.82,5.75,55,0,0,4.93,0,0.82
 36-46,0,0,0,5.64,0,0,24.17,0,0,0,12.09,0.81,0,0,0.81,0,1.61,0,0.81,16.11,0,0,7.25,202.22,0.81,1.61,1.61,0,0,9.67,0,0,0,0.81,39.48,0,0,0.81,0,0.81
 48-58,0,0,0,5.16,0,0,65.41,0,0,1.72,25.82,0.57,0,0,0.57,0,1.72,0,0,26.4,0,0,9.75,187.06,1.15,1.15,0,0,0,8.61,0,0,0,0,44.76,0,0.57,2.87,0,0
 60-70,0,0,0,5.89,0,0,66.74,0,0,1.96,27.48,2.94,0,0,0.98,0,0.98,0,0,27.48,0,5.89,6.87,118.76,0.98,0.98,1.96,0,0,5.89,0,0.98,0,0,25.52,0,1.96,0,0.98,1.96
 72-82,0,0,0,13.74,0.98,0,99.15,0,0,6.87,45.16,0,0,1.96,0.98,0,1.96,0.98,0.98,55.95,0,3.93,15.71,180.63,1.96,0.98,0.98,0,0,26.5,0,0,0,0,13.74,1.96,2.94,7.85,2.94,0.98
 84-94,0,2.12,0,20.18,1.06,1.06,87.09,0,5.31,1.06,29.74,1.06,0,5.31,0,0,2.12,0,0,22.3,1.06,3.19,8.5,71.16,1.06,2.12,1.06,0,0,75.4,0,1.06,0,0,3.19,2.12,1.06,1.06,1.06,0
 96-106,0,2.19,0,30.6,9.84,1.09,64.48,2.19,3.28,5.46,39.34,7.65,1.09,10.93,2.19,2.19,2.19,1.09,0,72.13,2.19,1.09,16.39,90.71,0,5.46,5.46,0,3.28,107.1,0,0,0,0,7.65,3.28,3.28,7.65,3.28,5.46
108-118,0,0,0,58.21,12.26,5.36,49.02,1.53,11.49,3.06,22.98,4.6,0,8.43,4.6,2.3,3.06,0.77,2.3,52.09,3.06,3.06,16.09,88.85,3.06,3.06,2.3,0,1.53,91.15,0,0.77,0,0,1.53,4.6,0.77,3.83,0,3.06
120,0,0,0,60.75,19.6,3.92,41.16,3.92,13.72,3.92,35.28,3.92,0,7.84,5.88,5.88,3.92,1.96,1.96,58.79,1.96,3.92,11.76,117.59,1.96,0,0,1.96,1.96,48.99,0,1.96,0,0,3.92,0,0,5.88,1.96,0
