stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,47.32,0,0,0,13.14,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,0,0,18.88,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,107,9.44,0,0,22.03,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,24,3,0,0,1,1,0,5,1,1,4,8,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,3.28,0,1.64,0.82,0,0,0,0.82,0,0.82,0,0,0.82,4.93,0,0,4.93,36.94,0.82,1.64,0,0,0,0,0,0,0,2.46,16.42,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,4.83,0.81,0,0,2.42,0,0,0,0,0,0,0,0,4.83,0,0,3.22,66.87,0,1.61,0,0,0,0.81,0,0,0,0,13.7,0,0,0,0,1.61
 48-58,0,0,0,0,1.15,0,0,20.66,0,0,0,4.02,0,0.57,0.57,0,0,0,0,0.57,8.61,0,1.15,0.57,51.64,0,2.3,0.57,0,0,0,0,0,0,0,13.2,0,0,1.72,0,0
 60-70,0,0,0,0,0,1.96,0,39.26,0,0,0,5.89,0,0,0,0.98,0,0,0,0,10.8,0,0,0.98,58.89,0,1.96,0,0,0.98,0,0,0,0,0,12.76,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,33.38,0,0,0,3.93,0,0.98,0.98,0.98,0,0,1.96,0,15.71,0.98,0,0.98,55.95,0,0.98,0.98,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0.98
 84-94,0,0,2.12,0,1.06,0,0,11.68,0,0,0,1.06,3.19,1.06,0,0,1.06,2.12,1.06,0,6.37,0,1.06,2.12,27.61,0,1.06,0,0,3.19,0,0,0,0,0,3.19,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,2.19,1.09,1.09,26.23,0,0,0,4.37,1.09,0,0,1.09,2.19,0,0,0,12.02,0,1.09,2.19,14.21,0,2.19,1.09,0,0,0,0,0,0,0,0,1.09,2.19,1.09,3.28,0
108-118,0,0,0,0,0,0,0,6.13,0.77,0,0.77,1.53,0.77,0,0,3.06,1.53,0,0.77,0,3.83,0,0,0,18.38,0,0.77,1.53,0,0,0,0,0,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,5.88,0,0,3.92,0,1.96,1.96,5.88,3.92,0,0,3.92,3.92,0,1.96,0,5.88,0,1.96,1.96,23.52,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
