stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,55.17,1563.06,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,232.93,6.13,0,0,79.69,0,104.2,0,0,0,0,0,0,0,0,0
  7-9,23.66,52.57,0,78.86,0,2.63,44.69,0,0,0,0,44.69,0,0,0,0,0,0,0,0,1432.65,60.46,0,0,867.48,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,94.41,0,94.41,0,12.59,47.2,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,2611.98,50.35,0,0,1057.38,0,9.44,3.15,12.59,97.56,0,6.29,6.29,0,0,0
 14-21,0,0,0,0,423,24,18,0,0,8,2,0,1,0,9,0,17,0,0,27,678,9,7,16,28,0,95,1,170,9,25,238,218,0,0,0
 24-34,0,0,0,0,24.63,0.82,4.1,1.64,0,9.03,0.82,0,0,0,5.75,0.82,12.31,2.46,0,7.39,288.12,0.82,23.8,0,0,0,94.4,0,0.82,1.64,8.21,11.49,41.04,4.1,0,0.82
 36-46,0,0,0,0,0.81,0,2.42,0.81,0,8.06,0,0,0.81,0,0,0,5.64,1.61,0,2.42,220.75,0,16.92,0.81,0,0,17.72,0,0,0,0,0,32.23,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,8.61,1.15,0,6.89,0,0,0,0.57,0.57,0,10.9,2.87,0,1.15,178.45,0,15.49,1.15,0,0,6.31,0,0,0,0,0,14.92,2.87,0,0
 60-70,0,0,0,0,1.96,0,9.82,0,0,4.91,1.96,0,0,0,0,0,8.83,0,0,0,61.84,0,2.94,0.98,0,0,6.87,0,0,0,0,0,3.93,0.98,0,0
 72-82,0,0,0,0,0,0,10.8,0.98,0,11.78,0,0,0,0,0,0,11.78,0.98,0.98,0,32.39,0,4.91,0,0,0,8.83,0,0,0.98,0,0,4.91,0.98,0,0
 84-94,0,0,0,0,1.06,0,2.12,0,1.06,5.31,0,0,0,0,3.19,0,5.31,1.06,0,0,22.3,0,3.19,0,0,0,15.93,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,3.28,0,1.09,2.19,2.19,0,0,0,0,0,2.19,0,0,1.09,13.11,0,1.09,1.09,0,0,9.84,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,4.6,0,0.77,1.53,0,0,0,0,1.53,0.77,3.06,0.77,0,0,15.32,0,6.13,1.53,0,0,8.43,0,0,0,0.77,0,0,1.53,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,17.64,0,1.96,0,0,1.96,3.92,0,0,0,0,0,0,3.92,0,0
