stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,2.63,0,0,0,2.63,0,5.26,0,0,0,0,0,39.43,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,0.98,0.98,0.98,10.8,0.98,0,0,0.98,0,0.98,0.98,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,3.28,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,0,1.53,1.53,0,0,0,3.06,0,0,1.53,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
