stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,somites,spinal.cord,vasculature
 14-21,0,2,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,4.1,0,2.46,4.93,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0.81,0.81,0,0,0
 48-58,0,0,0,1.72,1.15,0,0,2.87,0,0.57,1.15,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,2.94,0,0.98,4.91,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,0,4.91,0,0.98,0
 84-94,0,0,0,2.12,0,0,1.06,2.12,1.06,0,1.06,0,0,0
 96-106,1.09,0,0,2.19,0,1.09,0,1.09,0,0,1.09,0,0,0
108-118,0.77,0,0,0,0,0,0,0.77,0,0,4.6,0,0.77,0.77
120,0,0,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0
