stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,5.75,2.46,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,0.81,0,1.61,0.81,0,0.81,0,1.61,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,2.87,0,0,0,0,1.72,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0.98,0
 72-82,0,2.94,0,0.98,0,0,6.87,0.98,0.98,9.82,0,0.98,3.93,0,1.96,0,0,0.98,0,8.83,0
 84-94,0,8.5,0,0,0,0,10.62,0,0,11.68,1.06,0,4.25,0,4.25,0,0,0,0,11.68,0
 96-106,0,16.39,1.09,1.09,1.09,0,32.79,0,0,21.86,2.19,0,7.65,0,6.56,1.09,0,0,0,30.6,0
108-118,0,23.74,0,0.77,0,0,31.4,0,2.3,15.32,3.06,1.53,6.89,0.77,3.06,0,0.77,0,0,29.87,1.53
120,0,17.64,0,0,0,1.96,25.48,0,0,21.56,0,1.96,5.88,0,5.88,0,0,0,0,11.76,0
