stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,1,1,0,3,6,0,0,0,0
 24-34,0,0.82,0,0.82,2.46,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0.82,50.07,0,0.82,0.82,0,4.93,0,0,1.64,7.39,0,0.82,0,0
 36-46,0,0,0,1.61,11.28,0,0,0,2.42,0,0,0,0,0,0.81,0,1.61,0.81,3.22,66.87,0,1.61,0,0,2.42,0,0,0,12.89,0,0.81,0,0
 48-58,0,0,0,1.72,21.8,0,0,0,4.59,0,0,0.57,0,0,0,0,4.02,0.57,0,70,0,0,0.57,0,4.02,0,0,0,12.05,0,1.15,0,0
 60-70,0,0,0,0,29.45,2.94,0,0.98,2.94,0,0,0,0,0,0,0,4.91,0,0,91.28,0,0,0,0,0.98,0,0,0,14.72,0.98,1.96,0,0
 72-82,0,0,0,0.98,29.45,0,0,0,6.87,0,0,0,0,0,0,0,9.82,0,0.98,81.48,0.98,0.98,0.98,0,1.96,0,0,0,7.85,0,0,1.96,0
 84-94,0,0,0,0,28.68,0,0,0,3.19,2.12,0,0,1.06,0,0,1.06,3.19,0,1.06,41.42,1.06,0,0,0,3.19,0,0,0,5.31,0,1.06,0,0
 96-106,0,0,0,2.19,17.49,0,0,1.09,2.19,0,0,1.09,1.09,0,0,0,5.46,0,0,21.86,1.09,3.28,1.09,0,6.56,0,0,0,2.19,0,2.19,0,0
108-118,0,0,0,1.53,20.68,0,0,0,3.83,0,0.77,0.77,0,1.53,0,0,5.36,0,1.53,45.19,0,0,1.53,0,3.06,0,0.77,0,3.06,0,1.53,0.77,0.77
120,0,0,0,3.92,5.88,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,19.6,0,0,0,0,0,0,0,0,1.96,0,0,0,0
