stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,570.06,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,18.4,23.66,0,0,39.43,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,365.39,13.14,0,0,118.29,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,18.88,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,289.52,6.29,0,0,88.12,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,4,45,0,1,0,1,0,0,0,4,0,2,4,13,0,1,0,0
 24-34,0,0,1.64,1.64,0,7.39,0,2.46,0,0,0,0,0,0,0,0,7.39,0,0,2.46,67.31,0,0.82,0,0,0,0.82,0,0,1.64,0,0,14.78,0,0.82,0,0
 36-46,0,0,0,1.61,0,15.31,0,2.42,0,0,0.81,0,0,0,0,0,8.06,0,0,0.81,43.51,1.61,0.81,0,0,0,1.61,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0.57,0,10.9,0.57,5.16,0,0,0,0,0,0,0,0,10.33,0,0,2.3,29.26,0,0.57,0,0,0,1.15,0,0,0,0,0,7.46,0,1.15,0,1.15
 60-70,0,0,0,2.94,0,8.83,0.98,7.85,0,0,0.98,1.96,0.98,0,0.98,0,12.76,0,0,0.98,30.43,0,0,0,0,0,1.96,0,0,0,0,0,3.93,0.98,2.94,0,0
 72-82,0,0,0,1.96,0.98,7.85,0,5.89,0.98,0,0,0,0,0,0,0.98,16.69,1.96,2.94,0,17.67,0,0,0,0,0,2.94,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,1.06,1.06,6.37,2.12,3.19,1.06,0,0,0,0,1.06,0,0,6.37,0,0,3.19,10.62,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,6.56,0,2.19,0,0,0,1.09,1.09,0,0,0,4.37,1.09,1.09,1.09,13.11,0,0,1.09,0,1.09,2.19,0,0,0,0,0,2.19,1.09,0,0,1.09
108-118,0,0,0,3.06,1.53,3.83,0.77,2.3,0,0,0,0,0,0.77,0,0,3.83,0,0,3.06,13.79,0,0,0.77,0,0.77,0.77,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,5.88,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,3.92,0,0,1.96,23.52,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
