stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.74,4335.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1084.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,18.4,0,10.51,0,0,0,52.57,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,425.85,18.4,0,0,141.95,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,53.5,0,9.44,0,66.09,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,679.75,25.18,0,0,232.88,0,6.29,9.44,3.15,28.32,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,10,216,17,0,35,0,2,0,23,10,3,0,0,5,0,0,1,0,56,0,0,37,469,11,0,11,15,0,19,0,45,16,47,175,0,0,18,0,0
 24-34,0,0,0.82,7.39,83.73,1.64,0,62.39,0,10.67,3.28,23.8,6.57,0.82,2.46,0,4.93,0,8.21,0,0,124.77,2.46,0,59.92,632.06,7.39,8.21,16.42,0,0,43.51,0,0,7.39,6.57,183.05,0,0,48.43,0,1.64
 36-46,0,0,0,0.81,30.62,0,0,60.43,0.81,3.22,3.22,27.39,2.42,0,2.42,0,2.42,0.81,6.45,2.42,3.22,132.94,0,4.83,30.62,306.96,4.03,8.06,12.09,0,0,27.39,0,0,3.22,0,128.1,0,0,30.62,0,0.81
 48-58,0,0,0,0,23.53,0,0,33.85,0.57,6.31,2.3,36.72,2.3,2.3,3.44,0,2.87,0.57,5.74,0,0,140.58,0,3.44,26.97,82.63,3.44,4.59,6.89,0,0.57,18.36,0,0,2.87,0,34.43,0,0,25.25,0,2.87
 60-70,0,0,0.98,0,34.35,0,0,25.52,0.98,12.76,2.94,46.13,2.94,2.94,3.93,0.98,0.98,0.98,6.87,0,0,191.4,2.94,5.89,18.65,74.6,1.96,3.93,8.83,0,0.98,27.48,0,0,3.93,0,16.69,0,2.94,29.45,1.96,1.96
 72-82,0,0,1.96,0.98,39.27,0,0,24.54,0,6.87,7.85,75.59,10.8,1.96,11.78,0.98,4.91,0.98,3.93,0,0.98,242.47,4.91,7.85,20.61,78.53,3.93,12.76,18.65,0,1.96,28.47,0,0,0,0,11.78,2.94,7.85,48.1,4.91,1.96
 84-94,1.06,0,2.12,0,88.15,1.06,0,30.8,0,14.87,4.25,41.42,14.87,3.19,3.19,0,5.31,2.12,7.43,0,1.06,149.75,2.12,7.43,15.93,49.92,5.31,9.56,20.18,0,0,71.16,0,0,4.25,0,14.87,3.19,6.37,39.3,6.37,5.31
 96-106,1.09,0,3.28,1.09,72.13,0,1.09,36.06,1.09,21.86,6.56,36.06,17.49,1.09,13.11,1.09,6.56,5.46,6.56,3.28,0,199.99,3.28,9.84,20.76,65.57,5.46,14.21,31.69,0,5.46,74.31,0,0,2.19,0,8.74,3.28,4.37,43.71,13.11,4.37
108-118,0,0,1.53,0.77,78.13,0,1.53,26.04,0.77,27.57,5.36,37.53,21.45,0,3.83,0.77,13.79,8.43,7.66,1.53,2.3,156.26,5.36,13.02,19.92,62.81,6.13,6.89,15.32,0,0.77,49.02,0,0,3.83,0,3.83,9.96,2.3,36,6.89,7.66
120,0,0,1.96,0,90.15,3.92,0,17.64,3.92,39.2,5.88,33.32,19.6,0,3.92,0,7.84,7.84,7.84,3.92,1.96,105.83,3.92,1.96,17.64,43.12,11.76,11.76,17.64,0,1.96,78.39,0,0,7.84,0,0,1.96,0,47.03,3.92,3.92
