stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,21.03,0,0,23.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,18.88,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0.82,3.28,0,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,0,0,3.22,0
 48-58,0.57,0,0,0,0.57,0,0.57,0,0,0,0,1.72,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,2.94,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,2.3,0,0,0,0.77,0,0,0
