stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,4,171,5,0,0,3,0,0,0,0,2,5,0,0,0,0,1
 24-34,0,0,0,22.16,0.82,0,82.09,0,2.46,0.82,14.78,0,0,0.82,0,0.82,0,1.64,0.82,7.39,66.49,0,0,9.85,1640.89,9.03,2.46,6.57,0,0,4.1,0,1.64,6.57,165.81,0,0,3.28,0,3.28
 36-46,0,0,0,45.12,0.81,0,366.58,0.81,8.06,4.03,211.89,2.42,0,3.22,0.81,0,0,0.81,0,9.67,249.76,0.81,2.42,26.59,4353.84,11.28,1.61,11.28,0,0,22.56,0.81,1.61,0,706.57,0,0.81,3.22,0,4.03
 48-58,0,0,1.72,87.22,2.3,0,748.82,1.15,18.36,7.46,329.36,6.31,0,5.16,2.87,1.72,0.57,1.72,1.15,18.94,381.01,1.15,18.94,38.44,3349.3,10.9,1.72,12.62,0,2.87,123.94,2.3,2.87,0,813.08,0,3.44,2.87,0,9.18
 60-70,0,0,0,115.82,1.96,0,601.67,4.91,27.48,2.94,180.6,12.76,0,4.91,0,3.93,0.98,0,0.98,8.83,380.83,2.94,19.63,35.33,1506.64,8.83,0.98,12.76,0,0,200.23,0.98,3.93,0,289.55,0.98,11.78,1.96,3.93,20.61
 72-82,0,0.98,0,127.62,12.76,0,319.04,3.93,20.61,9.82,162.96,13.74,0,1.96,0,4.91,1.96,0.98,1.96,11.78,437.82,5.89,19.63,33.38,829.5,8.83,0.98,10.8,0,1.96,428.99,0,0.98,0,84.42,6.87,6.87,4.91,12.76,15.71
 84-94,0,3.19,0,224.09,3.19,0,264.45,4.25,52.04,5.31,107.27,23.36,0,3.19,2.12,20.18,5.31,0,0,19.12,285.69,5.31,23.36,29.74,450.3,13.81,0,2.12,0,1.06,953.71,1.06,1.06,0,56.29,10.62,4.25,3.19,12.74,15.93
 96-106,0,2.19,0,184.69,9.84,0,142.07,3.28,62.29,8.74,97.26,25.14,0,2.19,4.37,19.67,6.56,2.19,2.19,18.58,227.31,8.74,7.65,25.14,360.64,3.28,7.65,14.21,0,2.19,975.91,0,1.09,0,15.3,9.84,3.28,2.19,8.74,17.49
108-118,0,3.06,0.77,206.04,5.36,0.77,111.83,2.3,84.26,6.13,72.77,23.74,0,0.77,1.53,32.17,8.43,0,6.13,23.74,169.28,16.85,5.36,26.04,425.11,6.89,0.77,14.55,0,1.53,867.07,1.53,1.53,0,9.19,9.19,2.3,0.77,2.3,20.68
120,0,0,0,172.46,7.84,0,125.43,0,56.83,5.88,62.71,11.76,0,0,3.92,1.96,0,3.92,1.96,11.76,141.1,11.76,15.68,11.76,421.35,5.88,0,9.8,0,1.96,444.87,5.88,1.96,0,11.76,5.88,0,1.96,3.92,11.76
