stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,22.03,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,3,0,19,0,0,8,0,0,0,3,1,0,2,0,0,0,0,0,0,3,0,0,1,117,1,5,1,0,0,9,8,1,2,76,0,0,4,0,1
 24-34,0,6.57,0.82,11.49,0,0,10.67,0,0,0.82,9.03,0.82,0,0.82,0,0,0,1.64,0,0.82,11.49,1.64,0,5.75,573.78,2.46,18.06,0.82,0,0,36.94,0,0.82,2.46,224.09,0,0,6.57,0,0
 36-46,0,1.61,0,3.22,0,0,27.39,0,0,0.81,20.95,0.81,0,1.61,0,0,0.81,0,0,0,12.89,0.81,0,3.22,897.52,0,16.11,2.42,0,0,19.34,0.81,0,0,265.07,0,0,3.22,0,0.81
 48-58,0,1.15,0,3.44,0,0,94.1,1.15,1.72,1.15,29.84,0,0,1.15,0,0,1.72,2.3,0.57,0.57,26.97,0,0.57,7.46,912.92,0,12.05,1.15,0,0,8.03,0,0.57,0,226.65,0,0,2.87,0,0.57
 60-70,0,0.98,0,6.87,0.98,0,230.66,0.98,0,2.94,38.28,0,0,1.96,1.96,0,0,0,0,0,27.48,0,0.98,4.91,1419.28,0,17.67,1.96,0,0.98,23.56,0,0,0,200.23,1.96,0,1.96,0,0.98
 72-82,0,3.93,0.98,7.85,3.93,0,376.96,0.98,2.94,2.94,59.88,2.94,0,0,1.96,0,0,0.98,0,0,57.92,0,4.91,4.91,1482.31,0,25.52,5.89,0,0,19.63,0,0,0,136.45,0.98,0.98,7.85,2.94,1.96
 84-94,0,5.31,0,21.24,1.06,0,220.9,0,0,3.19,45.67,0,0,2.12,0,0,2.12,3.19,0,1.06,23.36,1.06,6.37,5.31,781.66,0,13.81,4.25,0,0,25.49,0,0,0,67.97,2.12,0,4.25,4.25,2.12
 96-106,0,4.37,1.09,14.21,5.46,0,181.41,0,0,0,36.06,7.65,0,1.09,1.09,0,1.09,1.09,2.19,0,26.23,0,4.37,4.37,634.94,1.09,32.79,7.65,0,0,27.32,0,1.09,0,29.51,0,1.09,3.28,3.28,1.09
108-118,0,3.83,0.77,11.49,0,0.77,132.51,0,0.77,1.53,28.34,5.36,0,0,2.3,0.77,0,0,0.77,0,31.4,0,6.13,2.3,945.96,0,17.62,2.3,0,1.53,13.79,0,0.77,0,17.62,1.53,0,0,1.53,0
120,0,1.96,0,7.84,1.96,0,129.35,0,1.96,1.96,29.4,3.92,0,0,0,0,1.96,0,3.92,0,17.64,0,0,3.92,1070.04,1.96,21.56,3.92,0,0,9.8,0,0,0,25.48,0,0,1.96,9.8,0
