stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,2108.59,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,52.57,0,36.8,0,0,0,136.69,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,1246.01,34.17,0,0,554.66,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,59.79,0,81.82,0,12.59,0,179.38,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1702.51,44.06,0,0,544.43,0,0,12.59,3.15,75.53,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,6,89,32,0,67,0,0,24,5,0,0,0,4,0,0,0,1,65,0,0,47,990,9,0,13,32,0,10,0,59,5,0,68,266,0,0,11,0,1
 24-34,0,0,0,4.1,24.63,9.03,0,182.23,1.64,0,22.16,0,0,1.64,1.64,0,1.64,3.28,2.46,0,99.32,0,0.82,43.51,1025.25,3.28,8.21,8.21,0,0,13.13,0,0.82,0,0,11.49,215.89,0,0,12.31,0,4.93
 36-46,0,0,0,0,10.47,0,0,197.39,0.81,1.61,20.14,0.81,0,1.61,1.61,0,0.81,0,0,0,95.87,0,0,27.39,501.93,1.61,3.22,3.22,0,0,4.83,0,0,1.61,0,0,106.35,0,0,6.45,0,0
 48-58,0,0,0,0,8.03,0,0,191.65,2.3,1.15,27.54,0.57,0,0,1.72,0.57,0,0,0,0,88.94,1.15,2.87,21.23,230.1,0,1.15,2.3,0,0,5.16,0,0,0,0.57,0,39.59,0,0,4.59,0,0.57
 60-70,0,0,0,0,10.8,0,0,111.89,0,4.91,38.28,1.96,0,0,0.98,0,0.98,0,0,0.98,73.61,0,3.93,7.85,129.56,0,2.94,1.96,0,0,9.82,0,0,1.96,0,0,16.69,0,0,3.93,0,0
 72-82,0,0,0.98,0,13.74,3.93,0.98,72.64,0.98,5.89,46.14,0.98,0,0.98,1.96,1.96,0,0,0.98,0,113.87,0,3.93,15.71,148.23,0,1.96,0.98,0,0.98,1.96,0,0,0,0,0,8.83,0,0.98,16.69,0,1.96
 84-94,0,0,0,1.06,18.05,6.37,0,71.16,2.12,2.12,37.17,4.25,0,0,6.37,3.19,0,3.19,0,0,71.16,0,4.25,10.62,105.14,2.12,2.12,4.25,0,1.06,10.62,0,0,0,0,0,4.25,2.12,1.06,5.31,1.06,0
 96-106,0,0,0,0,6.56,3.28,0,34.97,0,2.19,32.79,7.65,0,2.19,7.65,0,1.09,1.09,0,0,64.48,0,3.28,7.65,93.98,1.09,3.28,2.19,0,1.09,13.11,1.09,0,2.19,0,0,8.74,1.09,0,13.11,2.19,1.09
108-118,0,0,0,0.77,11.49,3.83,0.77,41.36,1.53,1.53,32.17,1.53,0,2.3,9.19,1.53,2.3,0,2.3,0,64.34,0,1.53,14.55,125.62,1.53,1.53,3.83,0,2.3,11.49,0,0,0,0,0,1.53,1.53,0.77,5.36,0.77,2.3
120,0,0,0,0,21.56,9.8,0,37.24,0,1.96,43.12,3.92,0,0,21.56,1.96,1.96,1.96,0,0,68.59,1.96,1.96,9.8,127.39,0,1.96,0,0,0,1.96,0,0,1.96,0,0,3.92,0,0,7.84,1.96,0
