stage,epidermis,eye,fast.muscle,fin.epithelia,immune,ionocyte,mesenchyme,mucous,neural,periderm,vasculature,xanthophores
 14-21,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,0,0,0.98,0.98,0,0
 84-94,1.06,0,0,0,10.62,0,0,0,0,2.12,0,1.06
 96-106,1.09,0,0,0,2.19,0,0,1.09,0,7.65,0,0
108-118,6.89,0,0.77,0.77,6.89,2.3,2.3,0.77,0,25.28,1.53,0
120,0,0,0,0,7.84,0,0,0,0,7.84,0,0
