stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,65.89,1410.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,12.26,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,0,0,0.82,0.82,9.85,0.82,3.28,0,0,3.28,0,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,13.7,0,2.42,0.81,0,0,0,0,0,1.61
 48-58,0,0,0,1.15,0,0,0.57,0.57,0,0,13.2,0,0.57,0,1.15,0,0,0,0.57,2.87
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,9.82,0,5.89,0,0,0.98,0,0,0,4.91
 72-82,0,0,0,0,0.98,0,0,0,0,0,28.47,0,1.96,0,0,2.94,0,0,0,11.78
 84-94,0,0,0,1.06,5.31,0,0,0,0,0,39.3,0,0,1.06,0,1.06,0,1.06,0,9.56
 96-106,0,0,0,0,2.19,0,0,0,1.09,0,49.18,1.09,4.37,1.09,0,1.09,0,1.09,1.09,10.93
108-118,0,0,0,0,3.06,0,0,0,0,0,32.94,0,0.77,0,0,2.3,0,0,0.77,6.89
120,0,0,0,0,3.92,0,0,0,1.96,0,52.91,0,0,0,0,1.96,0,0,0,19.6
