stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,2.42,0,0,0,0,0,0,0,8.86,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,0,4.02,0,0.57,0,0,0,0,0,3.44,0,3.44,1.15,0
 60-70,0,0.98,0,0,2.94,0,0,2.94,0,0,0,0.98,1.96,0,0.98,7.85,0.98,5.89,0.98,0
 72-82,0,0,0,0,24.54,0,0,3.93,0,0,0,0,0,0.98,0,9.82,0,2.94,0,0
 84-94,0,0,0,0,20.18,0,0,1.06,0,0,0,0,0,0,0,2.12,0,5.31,2.12,2.12
 96-106,0,0,2.19,1.09,14.21,0,0,3.28,1.09,0,0,0,0,0,0,4.37,0,2.19,0,0
108-118,0,0,1.53,0,19.15,0,0,2.3,0.77,0,0,0,0.77,0,0,8.43,0,6.89,1.53,4.6
120,0,0,1.96,0,9.8,1.96,0,1.96,0,0,0,0,0,3.92,0,7.84,0,11.76,0,1.96
