stage,blastomeres,endoderm,eye,glial,hatching.gland,heart,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,10.51,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,9.44,0
 14-21,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,7
 24-34,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0,0,0,0,2.42
 48-58,0,0,1.15,1.72,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,2.94,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,2.19,0,0,1.09
108-118,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
