stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,8,0,0,7,0,0,0,0,0,0,0,1,0,9,0,2,48,0,0,1,1,0,9,1,0,9,22,0,0,0,0,0
 24-34,0,0,0,3.28,6.57,0,0,22.98,0,0.82,0.82,0,0,0,0,0,0.82,2.46,0,0.82,31.19,0,1.64,1.64,0,1.64,0,0,0,1.64,12.31,0,0,0,0,14.78
 36-46,0,0,0,0.81,0.81,0,0,443.92,0.81,5.64,0,0,0.81,0,0,0,0,2.42,0,1.61,54.79,0,0,2.42,0,0.81,0,0,0,0,10.47,0,0,0,0,2.42
 48-58,0,0,0.57,0,1.72,0,0,681.68,0,8.61,0,0,0,0,1.15,0,0,8.03,0.57,1.72,49.92,0,0,0,0,0.57,0,0,0,0,8.61,0,0,0,0,1.72
 60-70,0,0,0,0,1.96,0,0,517.26,0,64.78,0,0,0,0.98,0,0.98,0,11.78,0,0.98,46.13,0.98,0.98,0.98,0,0.98,0,0,0,0,7.85,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0.98,1.96,223.82,0.98,105.04,0,0,0.98,0,0,0,0,13.74,1.96,1.96,23.56,0,2.94,1.96,0,9.82,0,0,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,9.56,0,1.06,178.42,0,63.72,1.06,0,0,0,0,0,0,13.81,1.06,0,12.74,0,0,1.06,0,6.37,0,0,0,0,2.12,1.06,0,0,0,2.12
 96-106,0,0,0,0,10.93,0,0,148.63,0,98.36,1.09,0,0,0,1.09,2.19,0,15.3,0,2.19,30.6,0,3.28,3.28,0,27.32,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,13.79,0.77,0,124.85,0,84.26,0,0,0,0,0,0.77,0,25.28,0,0,22.98,0,0,2.3,0,23.74,0,0,0,0,0.77,0,0.77,0.77,0.77,1.53
120,0,0,0,0,7.84,0,0,127.39,0,52.91,0,0,0,0,0,1.96,0,7.84,0,0,15.68,0,1.96,0,0,15.68,0,3.92,0,0,0,0,0,0,0,0
