stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,7,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,6,1,2,0,0,4,0,1,3,0,0,0,0
 24-34,0,0,0.82,0.82,7.39,0.82,0,1.64,0,0,0,0,0,0,0,0,11.49,0,0,0,0,3.28,0,20.52,0,7.39,1.64,0,36.94,0,1.64,4.93,0,0,3.28,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0.81,0,5.64,0.81,0,0,0,0.81,0,35.45,0,4.83,2.42,0,18.53,0.81,0,8.06,0,0,1.61,0
 48-58,0,0,0.57,0,1.15,0,0,4.02,0.57,1.15,0,0,0,0,0,0,1.15,1.72,0.57,0.57,1.72,1.72,0,20.08,0,2.87,2.3,0,12.62,0,0.57,6.31,0,0,1.72,0
 60-70,0,0,1.96,0,1.96,0,0,9.82,0,0,0,0.98,1.96,0,0.98,0,0.98,0.98,0.98,0,0,0,0,44.17,0.98,6.87,0,0,18.65,0,0,7.85,0,0,1.96,0.98
 72-82,0,0,3.93,0,5.89,0,0,9.82,0,0,0,4.91,3.93,0.98,0,0.98,3.93,2.94,0,0,1.96,1.96,0.98,36.32,0,3.93,3.93,0,12.76,0,0.98,2.94,1.96,0,3.93,0
 84-94,0,0,1.06,0,11.68,0,1.06,24.43,0,0,1.06,1.06,11.68,0,0,1.06,5.31,2.12,1.06,0,2.12,3.19,0,22.3,3.19,4.25,5.31,0,44.61,0,1.06,2.12,3.19,1.06,4.25,0
 96-106,0,0,2.19,0,16.39,0,1.09,49.18,0,4.37,0,2.19,9.84,0,0,1.09,6.56,2.19,1.09,0,2.19,5.46,0,17.49,1.09,10.93,8.74,0,43.71,0,2.19,1.09,7.65,0,5.46,0
108-118,0,0,0.77,0.77,12.26,0,3.06,49.02,0,2.3,0,0.77,22.21,0,0,0,9.96,3.83,3.06,0,3.06,0.77,0,24.51,0,1.53,7.66,0,22.98,0,3.06,0.77,7.66,0,2.3,0
120,1.96,0,1.96,0,17.64,1.96,3.92,11.76,0,3.92,0,0,29.4,0,0,0,5.88,5.88,1.96,0,0,1.96,0,29.4,0,7.84,5.88,0,25.48,0,7.84,0,5.88,0,3.92,0
