stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
 24-34,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0,30.37,0,0,0,0.82
 36-46,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0.81,0.81,0,34.64,0,0,0,3.22
 48-58,0,0,0,0,0,6.89,0,0.57,2.87,0,0,0.57,0,1.72,0.57,35.58,0,0,0,3.44
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0.98
 72-82,0,0,0,0,0,3.93,0,0,0,0,0,0,0,3.93,0,24.54,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,1.06,0,0,0,0,0,1.06,0,8.5,1.06,0,0,0
 96-106,0,0,1.09,0,0,3.28,1.09,0,0,0,0,0,0,1.09,0,12.02,0,0,3.28,0
108-118,0,0,0.77,0,0.77,4.6,0,0.77,1.53,0.77,1.53,0,0,3.83,0,22.98,0,0,1.53,0
120,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,1.96,0,37.24,0,0,1.96,0
