stage,blastomeres,erythrocytes,eye,fast.muscle,heart,mural.cell,neural,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,10.8,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,7.85,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,9.56,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,12.02,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,6.13,0,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0
