stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,12.59,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,4,1,4,0,0,0,0,0,0,1,3,0,2,44,1,0,0,1,0,0,9,0,7,11,1,0
 24-34,0,0,0,0,0.82,0,5.75,1.64,0,0.82,0,0,0.82,0,4.1,0,2.46,78.8,0,0.82,0.82,0,0,0.82,0,0,2.46,21.34,1.64,0
 36-46,0,0,0,0,0,0,6.45,3.22,0,0,0,0,0,0,4.03,0,3.22,53.17,0,2.42,0.81,0,0,1.61,0,0,0,11.28,0.81,1.61
 48-58,0,0,0,0,0,0,20.08,2.87,0,0,0,0.57,0,0,8.61,0.57,1.72,34.43,0,0,0.57,0,0,1.15,0,0,0,5.16,0.57,0
 60-70,0,0,0,0,1.96,0,7.85,2.94,0,0,0,0,0,0,5.89,0,1.96,19.63,0,0,0,0,0,0.98,0,0,0,4.91,0,0
 72-82,0,0,0,0,2.94,0,10.8,1.96,0.98,0,0,0,0.98,0,8.83,0,0.98,15.71,0.98,0,0.98,0,0,1.96,0,0.98,0,1.96,0,0
 84-94,0,0,1.06,0,1.06,0,6.37,4.25,1.06,0,1.06,0,0,0,5.31,0,0,7.43,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,0,7.65,4.37,1.09,0,0,1.09,0,0,1.09,0,1.09,4.37,1.09,1.09,0,0,0,2.19,0,1.09,0,0,1.09,0
108-118,0,0,0,0,3.06,0,4.6,5.36,0,0,0,0,0,0,0.77,0,1.53,11.49,0,0.77,0,0,0.77,2.3,0,0,0,0,0,0
120,0,0,0,0,1.96,0,7.84,3.92,0,0,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,1.96,0,0,0,0,3.92,0
