stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,741.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,21.03,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,178.75,15.77,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,3.15,28.32,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,374.49,31.47,0,0,144.76,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,21,2,7,0,0,0,26,1,0,0,0,0,0,0,0,0,15,0,0,10,204,3,6,3,4,0,12,8,0,10,136,0,0,0,0,0
 24-34,0,0,2.46,0.82,8.21,0.82,8.21,0,0,0.82,13.95,0,0,1.64,0,0,0,0,0.82,0,18.06,0,0,7.39,279.09,1.64,12.31,2.46,0,0.82,0,3.28,0,2.46,109.99,0,0,1.64,0,0
 36-46,0,0,0,0,8.06,0,70.09,0.81,0.81,2.42,41.89,0.81,0,0.81,1.61,0,0,0,0,0.81,74.93,0,2.42,24.98,793.58,0,34.64,3.22,0,3.22,0,4.83,0.81,0,241.7,0,0,4.83,0,0
 48-58,0,0,0.57,0,4.59,0,91.81,0,0.57,1.15,35,0,0,0,0,0,0.57,0.57,0,0,40.17,0,1.15,7.46,284.61,0,10.9,2.3,0,1.15,0,1.15,0,0,62.54,0,0.57,2.87,0,0
 60-70,0,0,0,0,4.91,0,121.71,0,0,1.96,28.46,0.98,0,0.98,0.98,0,0,0,2.94,0,38.28,0,1.96,4.91,230.66,0.98,7.85,0.98,0,1.96,0,0,0,0,31.41,0,0,0.98,0,0
 72-82,0,0,1.96,0,4.91,1.96,122.71,0.98,0.98,1.96,30.43,3.93,0,0,0.98,0,0,0,0,0,58.9,0,0,5.89,210.08,0,14.72,0.98,0,0.98,0,0.98,0,0,18.65,1.96,0.98,2.94,0,0
 84-94,0,0,2.12,0,4.25,1.06,124.26,1.06,2.12,3.19,25.49,2.12,0,1.06,0,1.06,0,1.06,0,0,44.61,1.06,3.19,3.19,104.08,0,9.56,2.12,0,3.19,0,0,0,0,14.87,0,2.12,1.06,3.19,0
 96-106,0,0,4.37,0,5.46,0,77.59,0,2.19,1.09,28.41,0,0,0,0,0,0,2.19,1.09,0,33.88,0,2.19,4.37,113.66,0,12.02,2.19,0,1.09,0,1.09,0,0,3.28,2.19,1.09,2.19,1.09,2.19
108-118,0,0,0.77,0,9.96,0.77,55.92,0,2.3,2.3,23.74,0.77,0,0.77,1.53,0.77,0.77,2.3,1.53,0,23.74,0,0,0,137.11,0,9.19,3.83,0,4.6,0,3.06,0,0,4.6,1.53,1.53,0,1.53,0.77
120,0,0,1.96,1.96,17.64,0,70.55,0,9.8,0,17.64,0,0,3.92,0,0,0,0,0,0,27.44,0,1.96,0,156.78,1.96,7.84,0,0,3.92,0,0,0,0,7.84,1.96,1.96,1.96,1.96,1.96
