stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,1,2,0,0,0,0,0
 24-34,0,1.64,0.82,0,0,0.82,0,0,0,0.82,0,0,3.28,0,0,1.64,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,6.45,0.81,0,0.81,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,1.72,0,0,1.15,0.57,0,0,4.59,0,0,2.3,1.15,0,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,5.89,0,0,1.96,2.94,0,0,10.8,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,5.89,0,0,13.74,0,0,1.96,0,0,0,0.98,0,0,0,1.96,0,1.96,0.98,0,0
 84-94,0,1.06,0,2.12,0,2.12,0,1.06,1.06,6.37,0,0,11.68,1.06,1.06,0,0,0,0,0,3.19,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,0,0,0,0,8.74,0,0,8.74,0,0,1.09,2.19,1.09,0,2.19,3.28,0,0,0,0,0,2.19,1.09,0
108-118,0,3.06,0,0,0.77,2.3,0,0,0,9.96,0,0,7.66,0,0,0,0,0,0,0.77,1.53,0,0,0,0.77,0,0,0,0.77
120,0,7.84,0,0,0,1.96,0,0,0,17.64,1.96,1.96,5.88,0,0,0,1.96,0,0,0,3.92,0,0,3.92,0,0,3.92,0,0
