stage,epidermis,eye,fin.epithelia,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord
 14-21,2,0,0,0,0,0,0,1,0,0,5,0,0,1,0,4
 24-34,0,2.46,0,0,0,0,0,0,0,0,23.8,0,0,0.82,0,8.21
 36-46,0,2.42,0,1.61,0,0,0.81,2.42,0,0,15.31,0.81,0,0,0,4.83
 48-58,0.57,1.15,0.57,0.57,0.57,0.57,0,3.44,0,0,5.74,0,0,2.3,0.57,5.16
 60-70,1.96,1.96,0.98,0.98,0.98,1.96,0,1.96,0,0.98,3.93,0,0,1.96,0.98,1.96
 72-82,2.94,1.96,0,1.96,0,0,0,1.96,0.98,0,1.96,0,0,0.98,0,0
 84-94,1.06,1.06,0,0,3.19,0,0,2.12,0,0,2.12,0,1.06,0,0,0
 96-106,4.37,2.19,0,0,1.09,1.09,0,2.19,0,0,0,0,1.09,2.19,0,1.09
108-118,0.77,0.77,0.77,0.77,0.77,0,0,0.77,0,0,2.3,0,0,0,0,0
120,1.96,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0
