stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,4,0,0,0
 24-34,0,0,0.82,2.46,0,7.39,0,0.82,0,0,0,1.64,0,0,0.82,0,0.82,11.49,0,0,0.82,4.1,0.82,0.82,7.39,0,0.82,0
 36-46,0,0,0,0.81,0,16.11,0,0.81,0,0,0,0.81,0,0,2.42,2.42,0.81,4.83,0,0,0,8.06,1.61,0,8.06,0,0.81,0
 48-58,0,0,0,0.57,0,16.64,0.57,0.57,0.57,0,0.57,0,0.57,0,0.57,2.3,0.57,5.16,0,0.57,0,0.57,0,0,2.3,0,2.87,0
 60-70,0,0,0,3.93,0,64.78,2.94,2.94,1.96,0.98,0.98,0,0.98,0.98,0.98,1.96,0,15.7,0,0,0,3.93,0,0,0.98,0,0.98,1.96
 72-82,0,0,0,1.96,0,39.27,0,3.93,0,0,1.96,0,0.98,0.98,0,5.89,0,12.76,0,0,0,5.89,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,0,36.11,1.06,1.06,2.12,0,2.12,1.06,0,0,0,5.31,0,4.25,0,0,0,15.93,1.06,0,1.06,0,1.06,0
 96-106,0,1.09,0,4.37,1.09,37.16,0,1.09,1.09,0,1.09,1.09,2.19,0,0,5.46,0,12.02,0,0,1.09,3.28,1.09,0,0,0,4.37,1.09
108-118,0,0,0.77,0.77,0,19.15,0.77,0.77,3.06,0,0.77,0,0.77,0,2.3,3.83,0,6.89,0,0,0.77,0,0,0,0.77,0.77,1.53,0
120,0,0,0,1.96,0,17.64,0,0,0,0,0,1.96,0,0,0,7.84,0,5.88,0,0,0,0,0,0,0,0,1.96,0
