stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,12.26,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,5.26,0,13.14,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,134.06,2.63,0,0,44.69,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,1,19,2,4,0,0,0,1,0,0,0,0,0,0,0,8,0,0,5,58,3,1,2,1,4,7,1,11,28,5,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,4.1,19.7,1.64,0.82,0.82,0,2.46,0,0.82,0.82,4.1,2.46,0
 36-46,0,0,0,0,1.61,0,2.42,0.81,0,0,0.81,0,0,0,0,0,0,0,3.22,0.81,0,0.81,4.83,0.81,0,0.81,0,4.03,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,1.15,0,2.3,0,1.15,0.57,1.15,0.57,0.57,0,0,0.57,0,0,4.59,0.57,0,2.87,10.33,0,0,0,0,8.03,0,0,0,5.16,1.15,0
 60-70,0,0,0,0,1.96,0,3.93,0,1.96,0,1.96,0,0,0,0,0,0,0,5.89,0,0,0.98,12.76,0,0.98,0,0,5.89,0,0.98,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,4.91,0,0,0,1.96,0.98,0,0.98,0.98,0,0.98,0,7.85,2.94,0,1.96,15.71,0.98,1.96,0,0,3.93,0,0,0,0.98,1.96,0.98
 84-94,0,0,0,0,1.06,0,3.19,0,1.06,0,2.12,0,0,0,1.06,0,0,1.06,7.43,0,0,0,8.5,0,1.06,1.06,0,10.62,0,0,0,0,3.19,0
 96-106,0,0,0,0,2.19,2.19,4.37,0,0,0,2.19,0,0,0,1.09,3.28,0,0,6.56,0,0,1.09,13.11,0,2.19,0,0,15.3,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0,3.06,0,0,0,1.53,0,0,0,3.06,0,0,0,6.89,0,0.77,1.53,3.83,0,0,0.77,0,10.72,0,0,0,0,2.3,0.77
120,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,0,1.96,1.96,0,5.88,0,0,0,3.92,1.96,1.96,0,0,15.68,0,0,0,1.96,0,0
