stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,26,0,0,1,0,0,0,0,7,1,0,4,19,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,6.57,0,1.64,0,0.82,0,0,0,2.46,0,0,0,1.64,10.67,1.64,0,4.1,77.98,0,0.82,0.82,0,0,0,0,0,0.82,0,0.82,29.55,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0.81,5.64,0,0.81,0,0.81,0,0.81,0,2.42,12.89,0,0,0.81,102.32,0.81,3.22,0,0,0,0.81,0.81,0,0.81,0.81,0,33.84,0,0,0,0,2.42
 48-58,0,0,0,0,0.57,0,19.51,0,1.72,0.57,9.18,0,0,0.57,0,0,0.57,0,0,15.49,1.15,0.57,2.3,106.15,0.57,1.72,0.57,0,0,2.3,0,0,0,0,0,25.82,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0.98,56.93,0.98,0,0,21.59,0,0,0.98,0,0,0,0,0.98,14.72,0,0,1.96,145.27,0,0,0,0,0,1.96,0,0,0,0,0,32.39,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,4.91,75.59,0.98,1.96,0.98,23.56,0,0,1.96,0,1.96,0,0,0,26.5,0,0,2.94,162.96,0,0,2.94,0,0,0.98,0,0,0.98,0,0,19.63,0.98,0,3.93,0,1.96
 84-94,0,0,0,0,4.25,4.25,41.42,2.12,2.12,1.06,10.62,2.12,1.06,1.06,0,2.12,1.06,0,1.06,20.18,0,1.06,2.12,71.16,0,4.25,1.06,0,0,9.56,0,0,0,0,0,10.62,0,0,3.19,0,1.06
 96-106,0,0,0,0,3.28,5.46,39.34,1.09,0,1.09,12.02,0,2.19,2.19,0,0,1.09,1.09,1.09,19.67,0,1.09,1.09,57.92,1.09,4.37,1.09,0,2.19,6.56,0,0,0,0,0,4.37,1.09,1.09,8.74,3.28,2.19
108-118,0,0,1.53,0.77,3.83,1.53,26.81,0,0.77,0.77,9.96,2.3,0,1.53,2.3,1.53,0.77,0.77,0,13.02,0,0.77,0.77,73.53,0.77,1.53,0,0,0,6.13,0,0,0.77,0.77,0,3.83,1.53,0,3.06,0,0.77
120,0,0,0,1.96,7.84,7.84,25.48,0,0,0,3.92,5.88,0,9.8,0,0,0,0,0,11.76,0,0,0,74.47,1.96,0,1.96,0,0,9.8,0,0,0,0,0,1.96,0,0,1.96,0,1.96
