stage,epidermis,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,presomitic_mesoderm,pronephros,somites,spinal_cord
 14-21,2,0,1,0,0,1,0,0,1,2,0,4
 24-34,0,0,0,0,0,2.46,0,0,0,0,0.82,1.64
 36-46,0,0.81,0.81,0.81,0.81,1.61,0,0,0,0,0,4.83
 48-58,0,2.3,0.57,0,1.15,0,1.15,0,0,0,0,2.87
 60-70,0,2.94,1.96,0,0.98,1.96,0,0,0,0,0,0
 72-82,0.98,0.98,0.98,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0.77,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0
