stage,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,paraxial_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,6.29,15.73,0,0,0
 14-21,1,0,0,0,0,1,4,0,2,3,0
 24-34,0,0,0,0,1.64,0,8.21,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,12.89,0,0,1.61,0
 48-58,0,0,0,0.57,0,0,11.48,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,10.8,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,9.82,0,0,0,0
 84-94,0,0,0,0,0,0,5.31,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0,0.77,0.77,1.53,0,0,0.77,0
120,0,0,1.96,0,1.96,0,5.88,0,0,0,1.96
