stage,erythrocytes,eye,gut,immune,iridophores,mural.cell,neural,periderm,somites,taste,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,4.1,0,0,0,0,0,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0
 48-58,0,0.57,0,5.16,0,0.57,0.57,0,0,0,0
 60-70,0,0,0,11.78,0.98,0,0,0,0,0,0
 72-82,0,0,0,16.69,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,45.67,2.12,0,0,0,0,0,0
 96-106,1.09,0,0,52.46,0,0,0,2.19,0,2.19,0
108-118,0,1.53,0.77,44.43,6.13,0,0,0,0,0.77,0.77
120,0,0,0,60.75,0,0,0,0,0,1.96,0
