stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
 24-34,0,0.82,0,0,1.64,0.82,0,0,0,0,0.82,0,6.57,1.64,0,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0.81,0,0,0,2.42,0,0,0
 48-58,0.57,3.44,0,0,0,0,0,0.57,0,0,1.72,0,9.75,0.57,0,0,0,0,2.3,0,0,0
 60-70,0,7.85,0,0,1.96,0,0,0.98,0,0.98,7.85,0,7.85,1.96,0,0,0.98,0.98,0.98,0.98,0,0
 72-82,2.94,12.76,0,0,2.94,0,0,0,0,0,49.08,0,13.74,6.87,0.98,0,0,0,3.93,3.93,0.98,0
 84-94,3.19,18.05,0,0,3.19,0,1.06,0,1.06,0,26.55,0,9.56,7.43,0,0,0,0,4.25,4.25,0,0
 96-106,2.19,20.76,0,0,0,0,0,0,1.09,0,65.57,0,20.76,9.84,0,1.09,0,0,0,7.65,0,0
108-118,1.53,16.09,0.77,0.77,4.6,0,0,0,0.77,0,47.49,0.77,8.43,9.96,0.77,0,0,1.53,0,9.19,0.77,1.53
120,3.92,15.68,0,0,0,0,0,0,0,0,64.67,0,9.8,9.8,1.96,0,0,0,0,5.88,0,0
