stage,endocrine_pancreas,eye,fin_epithelia,glial,gut,iridophores,mesenchyme,neural,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,0,0,5,0,0,2
 24-34,0,0.82,0,0,0,0,0,31.19,0.82,0,14.78
 36-46,0,0.81,0,0.81,0,0,0,78.15,1.61,0,13.7
 48-58,0,2.3,0,1.72,0.57,0,0,57.38,0,0,14.35
 60-70,1.96,4.91,0,8.83,0,0,0,122.69,0,0.98,16.69
 72-82,0,16.69,0,7.85,0,0,0.98,107.98,0,0,2.94
 84-94,2.12,12.74,1.06,5.31,0,1.06,0,53.1,0,0,5.31
 96-106,2.19,7.65,0,6.56,2.19,0,2.19,45.9,0,0,3.28
108-118,0,4.6,0,3.83,0,0,0,65.11,1.53,0.77,1.53
120,0,5.88,0,1.96,1.96,0,0,47.03,0,0,3.92
