stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,34,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,2,16,0,0,0,0,0,2,0,1,0,0,0,10,0,0
 24-34,0,0,0.82,3.28,4.93,0,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,4.1,0,0,0,5.75,3.28,0.82,1.64,0,0,0,0,0,1.64,0,0,0,41.86,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0.81,0,11.28,0,0.81,0,0,4.03,0.81,0,0.81,1.61,3.22,0.81,0,0,0,0.81,0,0,0,1.61,0,0,16.11,0,0
 48-58,0,0,0,0,0,0,4.02,0,1.72,0,0.57,0,0.57,1.15,7.46,0.57,0,0,0,6.31,0,0.57,1.72,4.02,1.15,0,0,0,0,0,0,0,0,0.57,0,0,21.23,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0.98,1.96,13.74,0.98,0,0,0,19.63,0,0.98,0,3.93,1.96,0.98,0,0,0,0.98,0,0,0,0.98,0,0,32.39,0,0
 72-82,0,0.98,0,4.91,2.94,0,4.91,0,0,0,1.96,2.94,0,4.91,34.36,0,0.98,0,0,40.25,0,3.93,5.89,8.83,0,1.96,1.96,0,0,0,0,0,0,0,0,2.94,52.03,1.96,0
 84-94,0,1.06,0,8.5,5.31,0,3.19,1.06,3.19,1.06,2.12,3.19,0,1.06,39.3,2.12,0,0,0,26.55,1.06,2.12,1.06,5.31,1.06,1.06,0,0,2.12,4.25,0,0,0,0,0,0,58.41,1.06,2.12
 96-106,0,0,0,14.21,5.46,1.09,0,0,2.19,0,3.28,2.19,0,0,68.85,3.28,2.19,3.28,0,32.79,0,4.37,2.19,5.46,0,1.09,0,0,3.28,8.74,0,0,0,0,1.09,4.37,73.22,4.37,0
108-118,0,0,0,8.43,2.3,7.66,4.6,0,4.6,0,0.77,6.13,0,2.3,54.38,5.36,3.06,1.53,0.77,36,0.77,2.3,3.06,9.19,3.83,1.53,0.77,0,0.77,9.96,0,0.77,0,0,0,0.77,52.09,1.53,3.06
120,0,0,0,17.64,9.8,1.96,0,0,1.96,1.96,0,3.92,0,5.88,66.63,0,3.92,1.96,0,25.48,1.96,5.88,3.92,3.92,1.96,7.84,0,0,3.92,5.88,0,0,0,0,0,0,54.87,3.92,0
