stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0.82,6.57,5.75,0,0,0,0.82,0.82,0,0,9.03,1.64,0,0,63.21,0,0,0,1.64,0,1.64,0
 36-46,0,0,0,8.06,0,1.61,0,0.81,1.61,0,46.73,1.61,0,0,0,3.22,0,0.81,0.81,9.67,0,0,0,62.84,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,10.9,0,2.87,2.3,0,0.57,0.57,16.64,1.72,0,0,0,0.57,1.15,0,0,9.18,0.57,1.15,0,36.15,0,0,0,2.87,0,0.57,1.15
 60-70,0,0,0,18.65,0.98,2.94,1.96,0,0.98,0,45.15,2.94,0,0,0,3.93,1.96,0,0,10.8,0,1.96,0,42.21,0,0,0,0.98,0,0,0
 72-82,0,0,0,28.47,0,4.91,2.94,0,0,0.98,19.63,8.83,0,0,0,4.91,1.96,0,0,14.72,0.98,4.91,0,23.56,0,0,0,0,1.96,0,0
 84-94,0,1.06,0,59.47,0,2.12,5.31,0,0,5.31,18.05,8.5,0,0,1.06,2.12,5.31,1.06,0,4.25,0,2.12,0,108.33,0,0,0,0,0,2.12,0
 96-106,0,0,0,86.33,1.09,6.56,8.74,0,1.09,6.56,55.74,15.3,0,3.28,0,4.37,4.37,0,0,12.02,3.28,2.19,0,93.98,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0.77,72,0,2.3,8.43,0,1.53,7.66,40.6,13.79,0,0,0,0.77,0.77,0,0,8.43,0,2.3,0,73.53,0,0,0,0.77,0.77,0.77,0
120,0,0,0,64.67,0,1.96,13.72,0,0,1.96,52.91,13.72,1.96,0,0,1.96,1.96,0,0,9.8,0,1.96,0,56.83,0,0,0,0,0,1.96,0
