stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,liver,mesenchyme,neural,paraxial_mesoderm,periderm
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,1.96,3.93,0,0.98
 72-82,0.98,0,0,0,0,1.96,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,1.06,1.06,0,0
 96-106,1.09,1.09,0,1.09,1.09,9.84,1.09,1.09,0,5.46,0,0
108-118,0,0,0.77,0.77,0.77,16.85,0,6.13,0,3.06,0,0
120,0,0,0,0,0,9.8,0,1.96,0,3.92,0,0
