stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,245.46,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,2,22,52,0,19,0,0,0,0,7,0,1,0,0,0,0,1,2,56,0,0,13,738,344,0,3,1,0,0,3,1,0,3,106,0,2,0,1
 24-34,0,0,1.64,5.75,9.03,0,14.78,0,0,0,5.75,4.1,0.82,3.28,0,0,0.82,0,0,1.64,181.41,0,0,21.34,534.38,27.91,0,13.13,0,0,0.82,0,0,0.82,0.82,68.13,0,41.04,0,0
 36-46,0,0,0,0.81,3.22,0,7.25,0,0,0.81,33.84,0.81,0,1.61,0,0,0.81,0,0,0,104.74,0,0.81,5.64,280.37,2.42,0,2.42,0,0,0.81,0,0,0,0,30.62,0,33.03,0,0
 48-58,0,0,0,1.72,3.44,0,12.62,0,0,0,100.42,0.57,0,1.15,0,0,1.15,2.87,0,0.57,51.64,0,2.87,6.31,96.97,1.15,0,2.87,0,0.57,0,0,1.15,0,0,36.15,0,55.09,0,0
 60-70,0,0,0,0.98,7.85,0,10.8,0,0,0,74.6,0,0,0,0,0,0.98,2.94,0,0,27.48,0.98,2.94,0.98,51.04,0,0,3.93,0,0.98,2.94,0,0,0,0,18.65,1.96,60.85,0,0
 72-82,0,0,0,3.93,28.47,0,35.34,0,0,0,93.26,0,0,0.98,1.96,1.96,0.98,0.98,0,0.98,41.23,0,2.94,4.91,75.59,0,0.98,5.89,0,1.96,0,0,0,0,0,7.85,4.91,141.36,0,0
 84-94,0,0,0,3.19,13.81,0,18.05,0,0,0,66.91,0,0,1.06,1.06,1.06,3.19,2.12,0,1.06,29.74,0,1.06,6.37,45.67,0,0,2.12,0,0,0,0,1.06,0,0,4.25,9.56,101.96,0,1.06
 96-106,0,0,0,3.28,24.04,0,19.67,1.09,0,0,76.5,0,0,1.09,2.19,0,0,0,0,2.19,33.88,0,0,5.46,54.64,0,0,6.56,0,0,2.19,0,1.09,0,0,0,3.28,142.07,2.19,0
108-118,0,0,0,3.06,9.19,0,22.98,0,0.77,0,70.47,0.77,0,2.3,0.77,1.53,0,1.53,0.77,0,17.62,0,3.06,2.3,44.43,0,0,7.66,0,0,0.77,0,0,0,0,0.77,3.06,97.28,3.06,3.06
120,0,0,0,3.92,25.48,1.96,17.64,0,0,0,60.75,0,0,3.92,1.96,0,0,0,0,0,19.6,0,1.96,0,27.44,0,0,9.8,0,1.96,0,0,0,0,0,0,1.96,78.39,1.96,0
