stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,1.64,0,0,2.46,0,0,0.82,42.68,0,17.24,0,0,0,0,0.82,0.82,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,4.83,0,0,0.81,0,0.81,0,0,1.61,0.81,0,0,95.07,0.81,21.75,0,0,0,0,0.81,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,4.02,0.57,0,0.57,4.02,0,5.16,1.15,0,1.15,0.57,0,2.3,0,0,0,104.43,0,13.77,0,0,0,0.57,1.72,0,36.72,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,0,0,35.33,0,0,0,11.78,0,6.87,0.98,0,0.98,0,0,0.98,0,0,0.98,161.95,0,14.72,0,0,0,0.98,0.98,0,60.85,0,0,2.94,0,0
 72-82,0,0,1.96,0,7.85,0,0,43.19,0,0,0,7.85,3.93,2.94,0,0,0,0,0,10.8,1.96,0,0,221.86,0,34.36,0.98,0,0,0.98,3.93,0,83.44,1.96,0.98,5.89,0,0
 84-94,0,0,2.12,0,2.12,1.06,1.06,28.68,0,1.06,0,10.62,11.68,3.19,0,0,2.12,0,1.06,7.43,3.19,1.06,1.06,96.65,0,33.99,0,0,0,0,10.62,0,25.49,0,2.12,2.12,0,0
 96-106,0,0,4.37,0,5.46,0,0,27.32,0,1.09,1.09,16.39,7.65,0,1.09,1.09,1.09,2.19,1.09,14.21,2.19,1.09,1.09,108.19,0,51.36,2.19,0,0,0,5.46,0,17.49,1.09,0,3.28,0,1.09
108-118,0,0,4.6,0.77,0.77,0,1.53,12.26,0,0,0,13.79,22.98,0.77,0,0.77,3.06,0,0.77,15.32,3.06,0.77,0,115.66,0,36.77,0,0,0.77,1.53,15.32,0,11.49,0.77,0,4.6,1.53,0
120,0,0,0,0,0,1.96,1.96,23.52,0,0,0,23.52,7.84,0,0,0,5.88,0,1.96,7.84,5.88,1.96,0,103.87,0,15.68,0,0,0,1.96,17.64,0,9.8,0,1.96,3.92,0,0
