stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,461.23,6457.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0
  5-6,232.93,2580.58,6.13,0,0,0,0,0,12.26,0,0,0,0,171.63,6.13,0,0,36.78,67.43,0,0,0,0,0
  7-9,39.43,28.92,44.69,0,0,39.43,0,0,28.92,0,0,0,0,615.12,18.4,0,0,220.81,0,10.51,0,0,0,0
 10-12,0,6.29,12.59,0,0,25.18,0,0,6.29,0,0,0,0,144.76,3.15,0,0,75.53,0,22.03,0,6.29,0,3.15
 14-21,0,0,1,4,1,0,0,1,0,1,0,3,0,10,1,1,0,1,1,0,6,0,5,5
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,3.93,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0.77,0.77,0,1.53,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0
