stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,128.72,1777.59,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,31.54,39.43,0,49.95,0,0,94.63,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,891.13,28.92,0,0,297.04,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,44.06,0,6.29,62.94,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,434.28,15.73,0,0,157.35,0,0,0,15.73,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,8,4,7,0,0,6,1,0,0,0,0,0,0,0,0,12,0,0,10,93,2,2,0,5,0,2,6,0,1,9,23,0,1,0,0
 24-34,0,0,0,0.82,4.1,0,28.73,0,0,11.49,1.64,0,0,0,0,0,0,0,0,19.7,0,0,7.39,279.09,0.82,0,2.46,0,0,6.57,0,0,0,2.46,57.46,0,4.1,0,0.82
 36-46,0,0,0,0.81,0.81,0,52.37,0,0.81,3.22,0,0,0.81,0,0,0,0.81,0,0,24.98,0.81,0,4.83,176.44,0,3.22,1.61,0,0,6.45,0,0,0,0,39.48,0,3.22,0,0
 48-58,0,0,0,0,4.02,0,76.32,0,0,12.62,0.57,0,0.57,0,1.15,0.57,0,0.57,0.57,40.74,0,3.44,4.59,121.65,1.15,1.15,1.72,0,0,1.15,0,0,0,0,35.58,0,2.3,0,1.72
 60-70,0,0,0.98,0,2.94,0,41.22,0,0.98,19.63,0,0,0,0,0,0,0,0,0.98,32.39,0,0,3.93,54.97,0,0,0.98,0,0,1.96,0,0,0,0,12.76,0,1.96,0,0
 72-82,0,0,0.98,0,4.91,0,33.38,0,0.98,12.76,0,0,0,0,0,0,0.98,0,0,16.69,0,1.96,3.93,40.25,1.96,0.98,0,0,0,3.93,0,0,0,0,4.91,0.98,1.96,0,0.98
 84-94,0,0,0,0,1.06,0,6.37,1.06,0,12.74,0,0,1.06,1.06,0,0,0,0,1.06,16.99,0,0,3.19,29.74,1.06,5.31,0,0,0,5.31,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,1.09,18.58,1.09,0,8.74,1.09,0,1.09,1.09,0,1.09,0,0,0,15.3,0,0,1.09,20.76,0,1.09,1.09,0,0,3.28,0,0,0,0,3.28,0,1.09,2.19,0
108-118,0,0,0.77,0,4.6,0,11.49,0,0,9.19,1.53,0,0,0.77,0,0,0,0,0,7.66,0.77,0,1.53,19.92,0,0,0,0,0.77,2.3,0,0,0,0,1.53,0,0,0.77,0.77
120,0,0,0,0,5.88,0,13.72,0,0,5.88,3.92,0,0,1.96,0,1.96,0,0,0,15.68,0,0,3.92,33.32,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0
