stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,21,0,0,1,24,35,0,1,3,0,8,1,0,0,6,6,0,0,0,0,0
 24-34,0,0,0,0,4.93,0.82,0,6.57,0,0.82,0,20.52,0,0.82,0,2.46,0,0,0.82,0,6.57,0.82,0,1.64,158.43,20.52,0,0.82,0,0,7.39,0,0,0,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,12.89,0,0,0,86.21,0,0.81,0,0,0,0,0,0,4.83,0,0,0,262.65,8.06,0.81,1.61,0,0,4.03,0,0,0,0,24.17,0,0,1.61,0,0
 48-58,0,0,0,0,9.18,0,0,66.56,0.57,0,0,277.15,1.15,1.72,0,0,0.57,0.57,0.57,0.57,14.35,1.15,1.15,2.3,634.05,4.59,0,5.74,0,0,2.3,0,0,0,0,90.66,0,0.57,2.3,0,1.15
 60-70,0,0,0,0,13.74,0.98,0,95.21,0.98,0,0.98,482.91,0.98,2.94,0.98,0,0,0,0,0,44.17,0,0.98,4.91,1054.15,11.78,0,7.85,0,0,8.83,0,0,0,0,54.97,0,0.98,5.89,0,1.96
 72-82,0,0,0.98,0,30.43,14.72,0.98,180.63,0.98,0.98,3.93,479.05,2.94,2.94,1.96,3.93,0,2.94,1.96,0,179.64,1.96,3.93,7.85,1241.8,23.56,0.98,16.69,0,0,23.56,0,0,0,0,24.54,2.94,5.89,10.8,3.93,3.93
 84-94,0,0,0,0,49.92,9.56,1.06,218.78,1.06,2.12,2.12,282.5,5.31,5.31,8.5,6.37,3.19,1.06,2.12,1.06,141.25,4.25,4.25,3.19,752.98,43.54,2.12,19.12,0,0,61.6,0,4.25,1.06,0,33.99,2.12,4.25,6.37,4.25,5.31
 96-106,0,0,1.09,0,61.2,16.39,1.09,194.53,2.19,8.74,4.37,290.7,2.19,4.37,4.37,1.09,2.19,3.28,0,0,128.96,4.37,2.19,4.37,689.59,30.6,3.28,20.76,0,1.09,62.29,0,1.09,1.09,0,15.3,2.19,8.74,12.02,1.09,0
108-118,0,0,0,0.77,34.47,6.13,7.66,83.49,0,1.53,2.3,261.19,7.66,3.06,2.3,3.06,2.3,0,0.77,0.77,108,2.3,1.53,5.36,873.96,42.13,3.06,21.45,0,1.53,33.7,0,2.3,0,0,9.19,2.3,6.89,4.6,3.83,0
120,0,0,0,0,41.16,7.84,5.88,145.02,1.96,7.84,1.96,350.8,1.96,7.84,3.92,1.96,1.96,1.96,3.92,0,86.23,1.96,0,7.84,1005.37,66.63,1.96,27.44,0,1.96,37.24,0,0,0,0,9.8,0,1.96,13.72,1.96,0
