stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,0,59.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,74,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,17,29,0,0,7,0,0,1,22,0,1,7,0,0,9,0,0
 24-34,0,0,0.82,1.64,76.34,0.82,0,12.31,0,0,0,9.03,0.82,0,0,0,0,0,0.82,0,0,123.13,0.82,0,46.79,76.34,0,4.93,0.82,0,0.82,0,0,1.64,0.82,18.88,0,0,34.48,0,0
 36-46,0,0,0,0,49.95,1.61,0,10.47,2.42,0,0,23.36,0.81,0,0.81,0,0,0,0.81,0,0,194.97,0,5.64,97.49,59.62,0,3.22,0,0,0,0.81,0,2.42,0,26.59,0,1.61,33.03,0.81,0
 48-58,0,0,0,2.3,36.72,0,0,14.35,1.15,0.57,2.3,25.25,2.3,0,1.72,0,0,0,5.16,0,0,316.17,0,9.75,74.02,47.63,0,1.15,1.72,0,0.57,1.15,0,1.15,0,64.27,0,4.02,23.53,0.57,0.57
 60-70,0,0,0,0,45.15,1.96,0,25.52,0,0.98,4.91,41.22,4.91,0,0.98,0,0.98,0.98,15.7,0.98,0.98,550.63,0,18.65,46.13,32.39,0,1.96,0.98,0,0.98,0,0,0,0,44.17,0.98,15.7,17.67,14.72,0
 72-82,0,0,0,1.96,63.81,4.91,0,49.08,1.96,0.98,2.94,53.01,19.63,0,2.94,2.94,0,0.98,16.69,0,0,695.02,0,24.54,46.14,56.94,0.98,0,1.96,0,2.94,1.96,0,0,0,12.76,3.93,22.58,33.38,59.88,0
 84-94,0,0,0,2.12,124.26,0,0,64.78,2.12,1.06,3.19,40.36,21.24,0,3.19,0,1.06,0,45.67,1.06,0,516.15,0,28.68,28.68,28.68,0,2.12,2.12,0,3.19,3.19,0,0,0,8.5,35.05,23.36,40.36,55.23,0
 96-106,0,0,0,2.19,162.83,1.09,0,53.55,3.28,1.09,4.37,31.69,25.14,0,3.28,4.37,9.84,0,61.2,1.09,0,574.84,1.09,30.6,27.32,65.57,1.09,2.19,0,0,8.74,3.28,0,0,0,4.37,53.55,28.41,38.25,66.66,2.19
108-118,0.77,0,0,7.66,127.92,2.3,2.3,32.94,2.3,2.3,5.36,39.83,25.28,0,0,2.3,6.13,0,39.83,1.53,0,612.77,2.3,22.98,28.34,48.26,2.3,1.53,0.77,0,8.43,3.06,1.53,0.77,0,2.3,60.51,10.72,33.7,32.94,0
120,0,0,0,0,84.27,0,0,39.2,0,0,7.84,19.6,15.68,0,0,0,5.88,0,15.68,1.96,0,529.14,0,37.24,17.64,43.12,0,0,3.92,0,0,1.96,0,0,0,0,15.68,19.6,21.56,25.48,0
