stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,4,1,4,0,0,0,0,0,1,0,1,28,0,1,0,1,0,4,3,4
 24-34,0,0,0,0.82,0,4.93,1.64,0.82,0.82,0,0.82,1.64,0,0,34.48,0,0.82,0,0,0.82,0,0,9.03
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,10.47,0,0.81,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,5.16,1.15,0.57,0,0,0,0,0,0.57,10.33,0,0,0,0,0,0,0,3.44
 60-70,0,0,0,0,0,4.91,3.93,0,0,0.98,0,1.96,0.98,0,11.78,0,0,0,0,0,0,0,3.93
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,1.96,0,0.98,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06,2.12,0,0,3.19,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
