stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,6,0,1,3,2,0,0
 24-34,0,0,0,0.82,0.82,105.89,2.46,0.82,0,0,0,1.64,0,0.82,0,0,1.64,0,0,0,25.45,4.1,1.64,0.82,0,0.82,0,2.46,4.1,1.64,9.03,3.28,0
 36-46,0,0,0,0,0.81,20.95,3.22,0,0,2.42,0,1.61,0,0.81,0,0,0,2.42,0,0,22.56,3.22,1.61,0,0,0,0,0.81,0.81,0.81,4.83,0.81,0
 48-58,0,0,0,0,1.15,32.13,10.33,0.57,0,1.15,0,0,0,1.15,0,0,0,2.87,0.57,0,25.82,1.15,1.15,0.57,0,0.57,0,1.15,0.57,0,5.16,1.15,0.57
 60-70,0,0,0,0,0,28.46,14.72,0,0,0.98,0,0.98,0.98,0.98,0,0,0,2.94,0,0.98,26.5,0,1.96,0,0,0.98,0,2.94,0,0,6.87,0.98,0.98
 72-82,0,0,0,0,0.98,109.95,9.82,0,0.98,1.96,0,0,0,0,0,1.96,0,4.91,0,0,21.6,0,0,0.98,0,0.98,0,7.85,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,63.72,4.25,0,0,2.12,1.06,1.06,0,1.06,0,0,1.06,1.06,0,0,5.31,0,0,2.12,0,1.06,0,24.43,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,69.94,4.37,1.09,0,3.28,1.09,0,2.19,0,0,0,0,6.56,0,0,4.37,0,0,0,0,2.19,0,12.02,0,0,0,0,0
108-118,0,0,0.77,0,0,49.79,2.3,0,0,1.53,3.83,0,0,1.53,1.53,0,0,0,0.77,0.77,6.13,0,0,0,0,0.77,0,16.09,0,0,0,1.53,0
120,0,0,0,0,0,62.71,5.88,0,0,0,5.88,0,1.96,0,0,0,0,0,1.96,0,9.8,1.96,1.96,0,0,1.96,0,17.64,0,0,0,0,0
