stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,0,28.92,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,184.01,7.89,0,0,78.86,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,163.64,6.29,0,0,88.12,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,52,3,0,1,2,0,0,0,6,0,0,1,23,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0.82,0,10.67,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0.82,10.67,0.82,0,1.64,100.14,1.64,1.64,1.64,0,0,1.64,0,0,0.82,0,2.46,17.24,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0.81,0,20.14,0,0,1.61,1.61,0,0,0.81,0.81,0.81,0,0,0,8.86,0,0,4.03,111.99,0,3.22,0.81,0,0,1.61,0,0,0.81,0.81,0,29,0,0,4.03,0,0
 48-58,0,0,0,0,1.15,0,0,37.3,0,0,0.57,6.89,0,0,1.15,0.57,0,0,0,1.72,14.92,0,2.3,4.02,103.86,0,1.15,0,0,0,1.15,0,0,0,0,0,29.26,0,0.57,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,0,48.09,0.98,0.98,0,2.94,0.98,0,0,0.98,0,0,0.98,0,19.63,0,0,1.96,102.08,0,0.98,0,0,0.98,0,0,0,0,0,0,14.72,0,0,4.91,0,0
 72-82,0,0,0,0,1.96,1.96,0,42.21,0,0.98,0,17.67,0.98,1.96,0,1.96,0,0,1.96,0.98,24.54,1.96,0.98,2.94,79.51,0,0,0,0,0,2.94,0,0,0.98,0,0,7.85,0.98,0,3.93,0,0
 84-94,0,0,1.06,0,4.25,6.37,0,26.55,0,1.06,0,5.31,2.12,0,0,3.19,1.06,1.06,3.19,1.06,14.87,0,1.06,1.06,32.92,0,0,2.12,0,0,6.37,0,0,1.06,0,0,3.19,0,1.06,3.19,1.06,0
 96-106,0,0,0,0,5.46,4.37,0,15.3,0,0,0,6.56,2.19,0,1.09,3.28,0,0,1.09,0,21.86,0,3.28,2.19,36.06,0,4.37,0,0,0,6.56,0,0,0,1.09,0,2.19,0,0,2.19,0,0
108-118,0,0,0,0,4.6,0,1.53,13.02,0,1.53,0,3.06,3.83,0,0,1.53,0,0.77,0.77,1.53,8.43,1.53,0.77,2.3,27.57,0.77,0,3.83,0,0.77,3.06,0,0,0.77,0,0,0.77,0.77,0,6.89,0,0.77
120,0,0,0,0,7.84,1.96,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0,0,15.68,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0
