stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,0,0,0,49.95,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.26,6.29,0,0,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,19,0,0,7,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,30,2,0,1,1,0,16,0,4,0,0,1,16,0,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,3.28,1.64,0,1.64,0,0,0.82,1.64,0,1.64,0.82,0,9.03,1.64,0,1.64,42.68,0.82,1.64,2.46,0,0,37.76,0,0,6.57,0.82,0,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0.81,0,0.81,0.81,0,4.03,0,0,0.81,1.61,0,3.22,0,0,5.64,0,0,0.81,35.45,0,4.83,0.81,0,0,37.87,0,0,3.22,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,4.02,0.57,0,8.03,0,0,0.57,0,0,1.15,0.57,0,2.87,1.15,0,3.44,0.57,0,1.72,35.58,0,5.16,2.3,0,0.57,48.2,0,0,4.02,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,7.85,0,0,33.37,1.96,0.98,1.96,2.94,0,0.98,1.96,0.98,3.93,0.98,0,8.83,1.96,0,0.98,47.11,0,4.91,2.94,0,0,71.65,0,0,0.98,0,0,3.93,0.98,0,0,0,0
 72-82,0,0,3.93,0,6.87,0,0,42.21,0,0,7.85,18.65,0.98,2.94,5.89,0.98,2.94,2.94,1.96,17.67,0.98,0.98,4.91,43.19,0,8.83,2.94,0,0,153.14,0,0,2.94,0,0,3.93,0.98,1.96,0,4.91,0
 84-94,0,0,2.12,1.06,14.87,2.12,2.12,16.99,5.31,1.06,3.19,31.86,0,8.5,6.37,0,2.12,5.31,0,15.93,2.12,1.06,1.06,33.99,0,4.25,5.31,0,0,259.14,0,0,23.36,0,0,3.19,2.12,0,2.12,3.19,0
 96-106,0,0,3.28,1.09,39.34,2.19,1.09,28.41,3.28,0,6.56,57.92,1.09,3.28,4.37,1.09,3.28,14.21,0,10.93,1.09,1.09,3.28,43.71,0,6.56,4.37,0,0,219.66,1.09,0,22.95,0,0,2.19,8.74,1.09,0,5.46,0
108-118,0,0,3.06,0.77,30.64,1.53,4.6,22.21,4.6,1.53,10.72,54.38,0,6.89,10.72,0.77,2.3,22.21,0,16.85,2.3,0.77,2.3,34.47,0,3.06,4.6,0,0,170.04,0,0,36.77,0,0,0.77,12.26,0,1.53,3.83,1.53
120,1.96,0,1.96,0,47.03,0,1.96,19.6,1.96,1.96,5.88,64.67,0,7.84,1.96,0,0,15.68,0,11.76,3.92,0,0,33.32,0,0,5.88,0,0,121.51,0,0,27.44,0,0,0,3.92,1.96,0,3.92,0
