stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,566.65,13415.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0
  5-6,404.56,12547.36,24.52,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,484.24,6.13,0,0,159.37,140.98,0,0,0,0,0,0,0
  7-9,23.66,123.55,289.16,0,5.26,170.87,0,0,84.12,0,0,0,0,0,0,0,0,0,4489.84,15.77,0,0,1674.49,7.89,2.63,0,0,0,0,0,0
 10-12,0,9.44,100.7,0,12.59,56.65,0,0,9.44,0,0,0,0,0,0,0,0,0,1966.86,6.29,0,0,418.55,3.15,6.29,31.47,0,0,0,0,0
 14-21,0,0,0,193,2,5,0,0,0,1,0,0,0,0,0,3,0,1,10,0,0,0,5,1,0,1,4,17,0,0,0
 24-34,0.82,0,0,18.88,0,7.39,0.82,0,0,0,0,0,0,0.82,0,2.46,0,0.82,6.57,0,0.82,0.82,0,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,3.22,0,2.42,0.81,0,0,0,0,0,0,0,0,3.22,0,0,6.45,0,0,1.61,0,0,0,0,0,12.09,0.81,0,0
 48-58,0,0,0,1.15,0,6.31,0.57,0,0,0,0,0,0,0,0.57,2.3,1.15,0,8.03,0,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0,1.96,4.91,2.94,0.98,6.87,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,0,3.93,0,0,0,0,0,0,0,0.98,0,7.85,1.96,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,1.06,7.43,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,7.65,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0.77,0,0,0,0,0,0.77,0.77,0.77,3.06,2.3,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,0,5.88,1.96,3.92,0,0,1.96,0,0,0,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
