stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,20,1,3,0,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,0,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0,0,0,27.91,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0.81,0,0,0,19.34,0,0,5.64,0,0
 48-58,0,0,0,1.72,0,0,0.57,0.57,0,0,0,0,0,0,0,0,6.89,0,0.57,0,0,0,10.33,0,0,2.3,0,0
 60-70,0,0,0,60.85,0,1.96,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0,0,7.85,0,0,5.89,0,0
 72-82,0,0,2.94,304.32,0,3.93,0.98,0,0,0,0,0,0,4.91,0,0,13.74,0,0.98,0,0,0,15.71,0,0,5.89,0.98,0
 84-94,1.06,1.06,0,271.88,1.06,0,0,1.06,0,0,0,1.06,0,0,1.06,0,6.37,0,1.06,0,1.06,0,33.99,0,0,4.25,0,0
 96-106,0,2.19,1.09,275.4,0,1.09,1.09,0,0,0,0,0,0,5.46,0,1.09,8.74,0,3.28,0,0,0,36.06,0,0,6.56,0,0
108-118,0,1.53,0,193.79,0,1.53,0,0,0.77,0,0.77,1.53,0,3.06,0,0,7.66,0,0,0.77,0.77,0,31.4,0,0,2.3,0,1.53
120,0,1.96,0,170.5,0,0,0,0,0,3.92,0,0,0,0,0,0,7.84,0,1.96,0,0,0,15.68,0,0,3.92,1.96,0
