stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,122.59,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,55.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,18,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,12,0,0,0,0,293,1,1,7,0,0,0,0,0
 24-34,0,0,0,0,13.95,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,2.46,0,1.64,26.27,0,0.82,0,0,279.09,0,0,9.03,0,0,0.82,0,0
 36-46,0,0,0.81,0,6.45,0.81,7.25,0,0.81,0,0,0,0,0,0,0,0,0,2.42,3.22,0,0,28.2,0,0,0,0,233.64,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,8.61,0,4.02,0,2.3,0.57,0.57,0,0,0,0.57,0,0,0,0.57,0,0,0.57,17.79,0,0.57,0,0,127.38,0,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0,18.65,0.98,10.8,0,1.96,0,0.98,0,0.98,0.98,0.98,0,0,0,1.96,0.98,0,0,12.76,0,1.96,0,0,171.77,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,38.28,0,5.89,0,1.96,0,1.96,0,0,0,2.94,0,0,0,0.98,0,0.98,0.98,7.85,0,1.96,0,0,173.75,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,74.34,0,6.37,0,11.68,0,0,0,0,0,10.62,0,0,1.06,1.06,5.31,1.06,0,12.74,1.06,0,0,0,525.71,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,120.21,0,5.46,0,13.11,0,3.28,1.09,0,1.09,19.67,0,1.09,2.19,3.28,2.19,2.19,0,24.04,0,1.09,1.09,0,451.35,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0,0,91.15,0,3.06,0,13.02,0,2.3,2.3,0,0,13.79,0.77,0,0,4.6,4.6,1.53,0,16.85,0,1.53,1.53,0,342.39,0,0,2.3,0,0.77,0.77,0,0
120,0,0,0,0,50.95,0,1.96,0,15.68,0,3.92,3.92,0,0,11.76,0,0,0,0,3.92,0,0,11.76,0,0,1.96,0,317.49,0,0,0,1.96,0,0,0,0
