stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.03,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,3.15,0,0,78.67,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,2,0,0,0,2,0,1,1,0,4,0,0,0,0,5,0,0,3,49,0,5,0,0,1,0,6,1,0,2,26,0,0,0,0,0
 24-34,0,0,0,0.82,9.85,0,0,7.39,0,3.28,0,0.82,1.64,0,0,0,25.45,0,0,0,0,6.57,0.82,0,4.93,255.29,1.64,25.45,0,0,5.75,0,0,0,0.82,0.82,73.88,0,0,3.28,0,0
 36-46,0,0,0.81,0,8.06,0,0,20.95,0,0,2.42,8.06,0,0,0.81,0,3.22,0,0,0,0,11.28,0,2.42,2.42,655.01,0.81,33.84,0,0,4.83,0,0,0,0.81,0,135.35,0,0,0,0,0.81
 48-58,0,0,0,0,2.87,0.57,0,112.47,0,0,0,17.79,0,0,0,0,2.87,0,0,0,0.57,18.94,0,8.61,1.72,838.33,0.57,20.66,0,0,2.3,0,0,0,0.57,0,131.4,0,0.57,1.72,0,0
 60-70,0,0,0,0,4.91,0,0,227.71,0.98,1.96,0,18.65,0.98,0,0,0,0,0,0,0.98,0,31.41,0,21.59,3.93,1274.02,0.98,27.48,0,0,3.93,0,0,0,0,0,121.71,0,2.94,1.96,2.94,0
 72-82,0,0,0.98,0,12.76,0,0,353.4,0,0,0.98,42.21,0,0.98,0,0.98,0.98,0.98,0.98,1.96,0.98,49.08,0,21.6,2.94,1139.71,0.98,36.32,0.98,0,1.96,0,0,0.98,0,0,75.59,0,1.96,3.93,2.94,1.96
 84-94,0,0,1.06,0,15.93,1.06,0,224.09,0,2.12,1.06,41.42,2.12,0,2.12,0,4.25,2.12,0,0,3.19,23.36,1.06,13.81,4.25,576.69,0,29.74,3.19,0,12.74,0,0,0,0,0,42.48,1.06,2.12,2.12,16.99,2.12
 96-106,0,0,0,0,12.02,2.19,1.09,197.81,1.09,1.09,1.09,49.18,2.19,0,1.09,1.09,2.19,0,0,0,1.09,32.79,1.09,9.84,1.09,521.29,0,37.16,4.37,0,4.37,0,0,0,0,0,20.76,0,3.28,5.46,17.49,1.09
108-118,0,0,0,0.77,7.66,1.53,2.3,161.62,0.77,0.77,0.77,33.7,0.77,0,0,0.77,1.53,0.77,0.77,2.3,0,26.04,0.77,4.6,6.13,586.73,0.77,24.51,1.53,0,3.83,0,0,0.77,0,0,16.85,1.53,4.6,3.83,14.55,0.77
120,0,0,0,0,13.72,1.96,1.96,166.58,1.96,1.96,0,35.28,0,0,3.92,3.92,0,1.96,0,0,0,31.36,1.96,5.88,11.76,674.17,3.92,25.48,0,0,9.8,0,0,0,1.96,0,17.64,0,1.96,3.92,19.6,1.96
