stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,1357.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,294.22,2329.26,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,110.33,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,21.03,0,0,2.63,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,173.5,42.06,0,0,1185.55,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,138.47,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,1,0,14,9,0,3,0,0,0,2,0,0
 24-34,0,0,0,3.28,3.28,4.93,2.46,0.82,0,0,0,0,0,5.75,0,0.82,0,0,0,14.78,0,0,4.1,14.78,1.64,0,0,0,0,2.46,0,0,4.1,0,0,4.1,0,0,7.39,0,0.82
 36-46,0,0,0,0.81,1.61,0,0.81,0,1.61,2.42,0,0,0.81,8.86,0,0,0,0.81,0,12.09,0,2.42,3.22,14.5,0.81,0.81,2.42,0,0,1.61,0,0,5.64,0,0,0.81,0,0,6.45,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,0,2.87,0,0,1.15,8.03,0,0,0,0,0,11.48,0,1.72,1.15,6.89,1.15,1.72,0,0,0,1.15,0,0,0.57,0.57,0,1.72,0,0,10.33,0,0
 60-70,0,0,0,0,1.96,0,0.98,1.96,0,2.94,0,0,0.98,22.58,0,1.96,1.96,0,0,45.15,0,1.96,1.96,13.74,0,1.96,0.98,0,0,4.91,0,0,0.98,0,0,0.98,0,0.98,5.89,0,0.98
 72-82,0,0,0.98,0,1.96,0.98,2.94,0.98,0,2.94,3.93,0,0.98,13.74,0,0.98,0,0,0,45.16,0,1.96,5.89,6.87,0,5.89,0,0,0,0.98,0.98,0,0.98,0.98,0,0.98,2.94,0,22.58,1.96,0
 84-94,0,0,0,0,1.06,0,4.25,0,0,1.06,1.06,0,0,37.17,0,1.06,1.06,0,0,32.92,1.06,5.31,0,4.25,0,1.06,0,0,0,2.12,0,0,1.06,0,0,0,0,0,8.5,1.06,0
 96-106,0,0,1.09,0,10.93,2.19,2.19,1.09,3.28,4.37,7.65,0,0,32.79,0,1.09,0,1.09,0,56.83,0,2.19,1.09,5.46,0,5.46,1.09,0,0,15.3,1.09,0,2.19,0,0,0,0,0,9.84,2.19,0
108-118,0,0,0.77,0,12.26,0,1.53,4.6,2.3,3.06,5.36,0,0.77,46.72,0.77,1.53,1.53,0.77,0.77,32.17,0.77,1.53,0,2.3,0.77,1.53,3.83,0,0.77,12.26,0,0,0.77,0,0,0,0,0.77,6.89,0.77,1.53
120,0,0,0,0,13.72,1.96,0,1.96,0,1.96,3.92,0,0,39.2,0,1.96,0,0,0,9.8,0,1.96,1.96,3.92,0,1.96,3.92,0,3.92,13.72,0,0,0,0,0,0,0,1.96,13.72,0,0
