stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,glial,gut,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,4.02,0,0,0.57,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0.98,0
 72-82,0.98,0,0,4.91,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,0.77,0,1.53,0,0,0,0.77,0,0,0,0
120,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,1.96
