stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,157.8,0,0,0,0,0.57,0,0,0,0,6.89,0,0,0,0,0,0,2.3,0,0,0.57,0
 60-70,0.98,0,0,0,606.58,0.98,0.98,0,0.98,0,0.98,4.91,0,0.98,12.76,0.98,0.98,0,0,0,0,0.98,0,0,0.98,0.98
 72-82,0,0,0.98,0.98,706.8,0,3.93,0,0.98,0.98,0,6.87,0,0.98,14.72,0,0.98,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,3.19,0,676.52,0,2.12,0,1.06,0,1.06,1.06,1.06,0,5.31,0,0,1.06,0,1.06,0,1.06,0,1.06,1.06,0
 96-106,0,0,1.09,3.28,483.04,0,0,0,0,0,3.28,0,0,1.09,8.74,0,1.09,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0,327.07,0,2.3,0,0,0,3.06,2.3,0,0.77,7.66,1.53,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,290.05,0,1.96,1.96,0,0,1.96,1.96,0,1.96,13.72,0,3.92,3.92,0,0,0,0,0,0,0,0
