stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,36,0,2,0,0,2,0,0,1,6,34,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,9.85,0,1.64,0,3.28,0,0.82,0,0,0,0,0,0.82,0,5.75,0,0,1.64,300.43,15.6,2.46,0,0,29.55,0,1.64,4.1,1.64,85.37,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0,34.64,0,0,0,6.45,0.81,0,1.61,0,0.81,0,0,0.81,0,8.86,0.81,0,3.22,532.55,16.11,0,0,0,25.78,0,0,0,0,152.27,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,72.3,0,1.15,0.57,11.48,0,0,0.57,0,0.57,0,0.57,0,0,10.9,0.57,0,0.57,399.94,8.61,1.15,0,0,21.23,0,0,0,0,105.01,0,0,1.15,0,0.57
 60-70,0,0,0,0,3.93,0,0,159.01,0.98,0.98,0,17.67,0,0,0,0.98,1.96,0,0.98,0,0,20.61,0,0.98,0,303.29,9.82,0,0.98,0,35.33,0,0.98,0.98,0,53,0,0,0.98,0,2.94
 72-82,0,0,0,0,2.94,15.71,0,224.8,0,0.98,0.98,21.6,1.96,0,0.98,0,0,0,0.98,0,0,37.3,0,0,5.89,242.47,3.93,0.98,3.93,0,43.19,0,0,0,0,24.54,2.94,0,0,0,0.98
 84-94,0,0,0,0,6.37,7.43,0,179.48,2.12,2.12,1.06,16.99,1.06,1.06,0,1.06,1.06,2.12,1.06,0,0,15.93,3.19,4.25,1.06,149.75,8.5,3.19,0,0,107.27,0,0,0,0,9.56,0,2.12,0,3.19,2.12
 96-106,0,0,0,0,13.11,13.11,1.09,177.04,1.09,1.09,1.09,24.04,4.37,0,0,3.28,1.09,8.74,0,0,0,19.67,0,1.09,1.09,131.14,14.21,0,2.19,0,89.61,0,0,0,0,4.37,5.46,1.09,3.28,2.19,3.28
108-118,0,0,0,0,10.72,2.3,0,146.3,0.77,2.3,1.53,7.66,3.06,0,0,0,2.3,4.6,0,0,0.77,17.62,3.06,0.77,0.77,176.17,22.21,3.06,2.3,0,65.87,0,1.53,0,0,4.6,4.6,2.3,0.77,1.53,3.06
120,1.96,0,0,0,7.84,7.84,0,154.82,0,3.92,0,11.76,3.92,0,0,1.96,0,1.96,0,1.96,0,21.56,5.88,1.96,0,145.02,15.68,3.92,1.96,0,96.03,0,1.96,1.96,0,9.8,3.92,0,1.96,1.96,0
