stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,3,1,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,8.21,0,0,0,0.82,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,8.86,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,0,0,0,0,0,0.57,0,0,1.15,0,0,10.9,0,0,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0.98,0,0,3.93,0.98,0.98,16.69,0,0,0,0,0,0,2.94,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,3.93,1.96,0,3.93,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,0,5.31,0,0,1.06,0,0,0,0,0,0,4.25,0,0,5.31,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,1.09,0,2.19,0,0,0,0,0,0,0,1.09,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
