stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,65.89,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,18.39,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,41,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,1,1,1,1,1,0,0,0
 24-34,0,0,1.64,12.31,0,0,1.64,0,1.64,0,0,0.82,0,2.46,12.31,0,4.1,0,0,4.1,4.1,0,1.64,13.13,0,4.93,0,0.82,3.28,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0.81,0.81,0,0,0,0,5.64,0,4.03,0,0,0,6.45,0,0,8.06,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.72,0.57,0,0,0,0,3.44,0,1.15,0,4.02,0,0,0.57,6.31,0,0.57,9.75,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,3.93,0,0.98,0.98,0,0,7.85,0,5.89,0,14.72,0,0,0,5.89,0,0,13.74,0,1.96,0,0,0,0,0.98,0.98
 72-82,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,1.96,1.96,11.78,0,13.74,0.98,0,0.98,9.82,0,0,40.25,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,4.25,1.06,13.81,0,14.87,0,0,1.06,2.12,0,0,69.03,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,4.37,0,0,1.09,1.09,0,0,1.09,21.86,1.09,15.3,0,1.09,2.19,2.19,0,1.09,79.78,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,3.83,0,0,1.53,1.53,0,0,2.3,16.85,0,10.72,0,0,0.77,6.89,0,0,60.51,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,11.76,0,0,0,0,0,5.88,0,1.96,58.79,0,0,0,0,0,0,0,0
