stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,21.34,0,2.46,0,0,0,0.82,218.35,0,0,0,0,0,0,0,0.82,19.7,0,0,0
 36-46,0,0,103.13,0,37.06,0,0,3.22,0,525.3,0.81,0,0,0,0,0,0,0,119.24,0,0.81,0
 48-58,0,0,158.37,0,102.14,0,0,0.57,0.57,424.62,0,0,0,0,0.57,0,0.57,0,145.17,0,0,0.57
 60-70,0,0.98,76.56,0.98,60.85,0,0,1.96,0,144.28,0,0,0,0,0.98,0,0,0,36.32,0,0,0
 72-82,0,0.98,50.06,0,48.1,0,0,1.96,0,130.56,0,0,0.98,0,0,0,0,0,14.72,0.98,0.98,0
 84-94,0,0,28.68,0,26.55,0,0,1.06,0,52.04,0,0,2.12,0,0,0,0,0,8.5,0,0,0
 96-106,0,1.09,28.41,0,22.95,0,1.09,0,0,40.44,0,0,1.09,0,0,0,0,0,3.28,0,0,0
108-118,0,0.77,19.92,0,17.62,0,0,0.77,0,42.13,0,0.77,0.77,0,0,0,0,0,0.77,0,0,0
120,0,3.92,13.72,0,11.76,1.96,0,0,0,37.24,0,0,0,0,0,0,0,0,0,0,0,0
