stage,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0.82,0,0.82,0,0,0.82,0,0,3.28,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,1.61,1.61,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0.57,1.15,0,0,0,0.57,0.57,0,0,2.87,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,5.89,0,0,7.85,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0,0,0.98,0,0.98,13.74,0.98,0.98,16.69,0,0,1.96,0.98,1.96,0.98,1.96,2.94
 84-94,0,2.12,3.19,0,0,1.06,0,0,0,7.43,0,0,4.25,0,1.06,0,0,2.12,2.12,1.06,1.06
 96-106,0,0,2.19,0,1.09,0,0,0,0,3.28,2.19,1.09,18.58,0,2.19,0,0,1.09,0,0,1.09
108-118,0,0.77,2.3,0,2.3,0,0,0.77,0,10.72,0,0,7.66,0,0,0,0.77,0,0.77,0,1.53
120,0,0,0,0,0,0,0,0,0,3.92,0,0,11.76,1.96,0,0,0,0,0,0,3.92
