stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,5.26,15.77,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,97.26,7.89,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,103.85,6.29,0,0,50.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,1,2,2,0,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,1.64,0,0,18.06,0,0,0.82,0,0,0,0,0,0,6.57,1.64,0,0
 36-46,0,0,0,0.81,0,3.22,0.81,0,0,0,0,0,0,1.61,0,0,14.5,0.81,0,0,0,0,0,0,0,0,7.25,0,0,0.81
 48-58,0,0,0,0,0,3.44,0,1.15,0,0,0,0,0,2.87,0,0.57,10.33,0,0,0,0,0,0,0,0,0,5.74,0.57,0,0
 60-70,0,0,0,0,0,8.83,0,0.98,0,0,0,0,0,1.96,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,10.8,0,0.98,0,0,0,0,0,7.85,0,2.94,21.6,0.98,0,1.96,0,0,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,0,7.43,0,1.06,0,0,1.06,0,0,5.31,1.06,1.06,11.68,0,1.06,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.46,0,0,0,0,0,0,0,10.93,1.09,0,3.28,0,1.09,1.09,0,0,1.09,0,0,0,0,4.37,1.09,0
108-118,0,0,0,0,0.77,3.06,0,3.83,0,0,0,0.77,0.77,6.13,0,0,11.49,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,3.92,0,0,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
