stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,67.43,1293.35,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,73.56,0,0,0,42.91,0,12.26,0,0,0,0,0,0,0
  7-9,5.26,2.63,23.66,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,194.52,5.26,0,0,78.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,44.06,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,14,1,0,0,0,0,0,0,0,0,2,0,2,42,1,0,0,0,0,0,2,0,4,7,0,0,0
 24-34,0,0,0,0.82,3.28,6.57,0,3.28,0,0,0,0,0,8.21,0,0.82,24.63,0.82,0.82,1.64,0,0,0,0,0,0,13.95,0.82,0,0.82
 36-46,0,0,0,0,2.42,12.09,0.81,0,0,0,0,0,0,4.83,0,0.81,20.14,0,0.81,0,0,0,0,0,0,0,1.61,0.81,0,0
 48-58,0,0,0,0.57,13.77,30.41,0,1.15,0,0,0,0,0,6.89,0.57,2.3,20.08,0,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,46.13,0,1.96,0,0,0,0.98,0.98,3.93,0,0.98,19.63,0,0,0,0,0.98,0,0,0.98,0,7.85,0.98,0,0.98
 72-82,0,0,0,0,1.96,13.74,0,3.93,0,0,0.98,0.98,0,9.82,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,7.43,0,1.06,0,0,0,0,0,2.12,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,18.58,0,0,1.09,0,0,3.28,0,4.37,0,1.09,14.21,0,0,0,0,0,2.19,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,6.13,6.13,0.77,0.77,0,0,0,0.77,0,2.3,0,0,9.19,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,5.88,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
