stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,somites
  3-4,39.53,329.45,0,0,0,0,0,0,672.07,0
  5-6,55.17,594.57,0,0,0,6.13,0,0,692.65,0
  7-9,15.77,10.51,10.51,31.54,15.77,262.87,10.51,86.75,115.66,0
 10-12,0,9.44,6.29,34.62,3.15,330.43,18.88,84.97,59.79,6.29
