stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0,22.03,6.29,0,0,22.03,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,7,0,0,3,0,1,0,1,0,0,0,0,0,14,0,0,1,0,1,0,1,0
 24-34,0,0,0,1.64,0.82,0,0,0,1.64,7.39,0.82,0,0.82,9.03,0,2.46,27.09,0,0.82,3.28,0.82,0.82,0,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,2.42,0,0,0.81,0.81,0,0,12.09,0,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,1.72,1.15,0.57,0,1.15,0,0,13.77,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,4.91,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0.98,4.91,0,0,0,1.96,0,0,8.83,0,0,1.96,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,2.12,0,1.06,4.25,1.06,0,0,0,0,0,9.56,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,6.56,1.09,0,0,0,0,0,4.37,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0.77,0,6.13,0,0,0,0.77,0,0,8.43,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0
