stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,1,19,0,0,0,0,1,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,6.57,4.93,16.42,69.77,0,0,0,0.82,0.82,2.46,0
 36-46,0,0,0.81,0.81,0,1.61,0,0.81,0,16.92,0.81,13.7,66.06,0,0,0,1.61,0,0.81,0
 48-58,0,0,1.15,0,0,0.57,0,0,0,14.35,0.57,9.18,55.66,0,0,0,0,0,2.87,0
 60-70,0,0,3.93,0,0,0.98,0,0.98,0,12.76,0,4.91,60.85,0.98,0.98,0,0.98,0,0,0
 72-82,0,0.98,2.94,0.98,0,0,0.98,0.98,0,3.93,0.98,3.93,37.3,0,0,0,0,0,0.98,0
 84-94,0,0,3.19,0,0,1.06,0,0,0,5.31,0,1.06,66.91,0,0,0,0,0,0,1.06
 96-106,0,2.19,3.28,0,0,0,0,1.09,0,2.19,1.09,2.19,49.18,0,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0.77,2.3,0,1.53,54.38,0,0,0,0,0,0,0.77
120,0,1.96,0,0,1.96,0,0,0,0,0,1.96,5.88,72.51,0,0,0,0,0,0,0
